Player,Team,G,MP,TS%,MPG
Georges Niang,PHI,76.0,1736.0,0.594,22.842105263157894
Georgios Kalaitzakis,2TM,13.0,214.0,0.536,16.46153846153846
Giannis Antetokounmpo,MIL,67.0,2204.0,0.633,32.8955223880597
Goga Bitadze,IND,50.0,729.0,0.595,14.58
Goran Dragić,2TM,21.0,498.0,0.474,23.714285714285715
Gordon Hayward,CHO,49.0,1564.0,0.57,31.918367346938776
Gorgui Dieng,ATL,44.0,371.0,0.624,8.431818181818182
Grant Williams,BOS,77.0,1875.0,0.635,24.350649350649352
Grayson Allen,MIL,66.0,1805.0,0.609,27.348484848484848
Greg Brown III,POR,48.0,640.0,0.515,13.333333333333334
Greg Monroe,4TM,14.0,195.0,0.566,13.928571428571429
Hamidou Diallo,DET,58.0,1269.0,0.541,21.879310344827587
Harrison Barnes,SAC,77.0,2587.0,0.623,33.5974025974026
Hassan Whiteside,UTA,65.0,1162.0,0.662,17.876923076923077
Hassani Gravett,ORL,8.0,171.0,0.629,21.375
Haywood Highsmith,MIA,19.0,163.0,0.446,8.578947368421053
Herbert Jones,NOP,78.0,2335.0,0.573,29.935897435897434
Ignas Brazdeikis,ORL,42.0,536.0,0.52,12.761904761904763
Immanuel Quickley,NYK,78.0,1802.0,0.543,23.102564102564102
Isaac Bonga,TOR,15.0,69.0,0.363,4.6
Isaac Okoro,CLE,67.0,1981.0,0.589,29.567164179104477
Isaiah Hartenstein,LAC,68.0,1216.0,0.664,17.88235294117647
Isaiah Jackson,IND,36.0,541.0,0.607,15.027777777777779
Isaiah Joe,PHI,55.0,609.0,0.519,11.072727272727272
Isaiah Livers,DET,19.0,383.0,0.629,20.157894736842106
Isaiah Roby,OKC,45.0,948.0,0.607,21.066666666666666
Isaiah Stewart,DET,71.0,1816.0,0.55,25.577464788732396
Isaiah Thomas,3TM,22.0,333.0,0.516,15.136363636363637
Isaiah Todd,WAS,12.0,74.0,0.349,6.166666666666667
Ish Smith,2TM,65.0,1126.0,0.465,17.323076923076922
Ish Wainright,PHO,45.0,359.0,0.494,7.977777777777778
Ivica Zubac,LAC,76.0,1852.0,0.66,24.36842105263158
JT Thor,CHO,33.0,262.0,0.525,7.9393939393939394
Ja Morant,MEM,57.0,1889.0,0.575,33.14035087719298
JaMychal Green,DEN,67.0,1085.0,0.587,16.19402985074627
