Player,Team,G,MP,TS%,MPG
Kelly Olynyk,2TM,70.0,1997.0,0.61,28.52857142857143
Kelly Oubre Jr.,GSW,55.0,1687.0,0.529,30.672727272727272
Kemba Walker,BOS,43.0,1369.0,0.559,31.837209302325583
Kendrick Nunn,MIA,56.0,1650.0,0.596,29.464285714285715
Kenrich Williams,OKC,66.0,1426.0,0.599,21.606060606060606
Kent Bazemore,GSW,67.0,1333.0,0.564,19.895522388059703
Kentavious Caldwell-Pope,LAL,67.0,1902.0,0.588,28.388059701492537
Kevin Durant,BRK,35.0,1157.0,0.666,33.05714285714286
Kevin Huerter,ATL,69.0,2126.0,0.541,30.81159420289855
Kevin Knox,NYK,42.0,464.0,0.537,11.047619047619047
Kevin Love,CLE,25.0,622.0,0.556,24.88
Kevin Porter Jr.,HOU,26.0,835.0,0.528,32.11538461538461
Kevon Looney,GSW,61.0,1161.0,0.575,19.0327868852459
Khem Birch,2TM,67.0,1529.0,0.552,22.82089552238806
Khris Middleton,MIL,68.0,2269.0,0.588,33.36764705882353
Khyri Thomas,HOU,5.0,153.0,0.586,30.6
Killian Hayes,DET,26.0,670.0,0.422,25.76923076923077
Killian Tillie,MEM,18.0,182.0,0.461,10.11111111111111
Kira Lewis Jr.,NOP,54.0,904.0,0.477,16.74074074074074
Kostas Antetokounmpo,LAL,15.0,56.0,0.382,3.7333333333333334
Kris Dunn,ATL,4.0,45.0,0.182,11.25
Kristaps Porziņģis,DAL,43.0,1327.0,0.582,30.86046511627907
Kyle Anderson,MEM,69.0,1887.0,0.578,27.347826086956523
Kyle Guy,SAC,31.0,235.0,0.449,7.580645161290323
Kyle Kuzma,LAL,68.0,1954.0,0.546,28.735294117647058
Kyle Lowry,TOR,46.0,1601.0,0.593,34.80434782608695
Kyrie Irving,BRK,54.0,1886.0,0.614,34.925925925925924
LaMarcus Aldridge,2TM,26.0,674.0,0.556,25.923076923076923
LaMelo Ball,CHO,51.0,1469.0,0.539,28.80392156862745
Lamar Stevens,CLE,40.0,499.0,0.521,12.475
Landry Shamet,BRK,61.0,1403.0,0.578,23.0
Langston Galloway,PHO,40.0,438.0,0.605,10.95
Larry Nance Jr.,CLE,35.0,1091.0,0.557,31.17142857142857
Lauri Markkanen,CHI,51.0,1317.0,0.619,25.823529411764707
LeBron James,LAL,45.0,1504.0,0.602,33.422222222222224
Lonnie Walker IV,SAS,60.0,1522.0,0.523,25.366666666666667
Lonzo Ball,NOP,55.0,1747.0,0.551,31.763636363636362
Lou Williams,2TM,66.0,1423.0,0.519,21.560606060606062
Louis King,SAC,6.0,85.0,0.6,14.166666666666666
Luguentz Dort,OKC,52.0,1543.0,0.513,29.673076923076923
Luka Dončić,DAL,66.0,2262.0,0.587,34.27272727272727
Luka Šamanić,SAS,33.0,308.0,0.518,9.333333333333334
Luke Kennard,LAC,63.0,1232.0,0.608,19.555555555555557
Luke Kornet,2TM,31.0,348.0,0.511,11.225806451612904
Malachi Flynn,TOR,47.0,928.0,0.484,19.74468085106383
Malcolm Brogdon,IND,56.0,1930.0,0.561,34.464285714285715
Malik Beasley,MIN,37.0,1214.0,0.57,32.810810810810814
Malik Fitts,LAC,3.0,11.0,0.5,3.6666666666666665
Malik Monk,CHO,42.0,878.0,0.569,20.904761904761905
Mamadi Diakite,MIL,14.0,141.0,0.477,10.071428571428571
Marc Gasol,LAL,52.0,993.0,0.606,19.096153846153847
Marcus Morris,LAC,57.0,1502.0,0.614,26.350877192982455
Marcus Smart,BOS,48.0,1581.0,0.539,32.9375
Markelle Fultz,ORL,8.0,215.0,0.458,26.875
Markieff Morris,LAL,61.0,1200.0,0.509,19.672131147540984
Markus Howard,DEN,37.0,205.0,0.477,5.54054054054054
Marques Bolden,CLE,6.0,29.0,0.537,4.833333333333333
Marquese Chriss,GSW,2.0,27.0,0.412,13.5
Marvin Bagley III,SAC,43.0,1112.0,0.554,25.86046511627907
Mason Jones,2TM,32.0,334.0,0.556,10.4375
Mason Plumlee,DET,56.0,1499.0,0.638,26.767857142857142
Matisse Thybulle,PHI,65.0,1298.0,0.508,19.96923076923077
Matt Thomas,2TM,45.0,326.0,0.522,7.2444444444444445
Matthew Dellavedova,CLE,13.0,224.0,0.312,17.23076923076923
Maurice Harkless,2TM,37.0,772.0,0.527,20.864864864864863
Max Strus,MIA,39.0,507.0,0.597,13.0
Maxi Kleber,DAL,50.0,1341.0,0.606,26.82
Meyers Leonard,MIA,3.0,29.0,0.635,9.666666666666666
Mfiondu Kabengele,2TM,39.0,280.0,0.486,7.17948717948718
Michael Carter-Williams,ORL,31.0,800.0,0.449,25.806451612903224
Michael Porter Jr.,DEN,61.0,1912.0,0.663,31.34426229508197
Mikal Bridges,PHO,72.0,2348.0,0.667,32.611111111111114
Mike Conley,UTA,51.0,1498.0,0.589,29.372549019607842
Mike James,BRK,13.0,236.0,0.481,18.153846153846153
Mike Muscala,OKC,35.0,645.0,0.599,18.428571428571427
Mike Scott,PHI,51.0,852.0,0.492,16.705882352941178
Miles Bridges,CHO,66.0,1932.0,0.625,29.272727272727273
Mitchell Robinson,NYK,31.0,853.0,0.642,27.516129032258064
Miye Oni,UTA,54.0,519.0,0.517,9.61111111111111
Mo Bamba,ORL,46.0,725.0,0.556,15.76086956521739
Monte Morris,DEN,47.0,1196.0,0.574,25.4468085106383
Montrezl Harrell,LAL,69.0,1580.0,0.65,22.89855072463768
Moritz Wagner,3TM,45.0,722.0,0.58,16.044444444444444
Moses Brown,OKC,43.0,920.0,0.572,21.3953488372093
Mychal Mulder,GSW,60.0,766.0,0.613,12.766666666666667
Myles Turner,IND,47.0,1455.0,0.599,30.95744680851064
Naji Marshall,NOP,32.0,700.0,0.508,21.875
Nassir Little,POR,48.0,640.0,0.589,13.333333333333334
Nate Darling,CHO,7.0,26.0,0.541,3.7142857142857144
Nate Hinton,DAL,21.0,93.0,0.442,4.428571428571429
Nathan Knight,ATL,33.0,279.0,0.499,8.454545454545455
Naz Reid,MIN,70.0,1347.0,0.599,19.242857142857144
Nemanja Bjelica,2TM,37.0,595.0,0.554,16.08108108108108
Nerlens Noel,NYK,64.0,1547.0,0.638,24.171875
Nic Claxton,BRK,32.0,594.0,0.612,18.5625
Nick Richards,CHO,18.0,63.0,0.542,3.5
Nickeil Alexander-Walker,NOP,46.0,1007.0,0.522,21.891304347826086
Nico Mannion,GSW,30.0,364.0,0.487,12.133333333333333
Nicolas Batum,LAC,67.0,1835.0,0.617,27.388059701492537
Nicolò Melli,2TM,45.0,566.0,0.441,12.577777777777778
Nikola Jokić,DEN,72.0,2488.0,0.647,34.55555555555556
Nikola Vučević,2TM,70.0,2348.0,0.56,33.542857142857144
Noah Vonleh,BRK,4.0,11.0,0.0,2.75
Norman Powell,2TM,69.0,2205.0,0.618,31.956521739130434
Norvel Pelle,3TM,13.0,84.0,0.567,6.461538461538462
OG Anunoby,TOR,43.0,1433.0,0.605,33.325581395348834
Obi Toppin,NYK,62.0,683.0,0.574,11.016129032258064
Onyeka Okongwu,ATL,50.0,601.0,0.655,12.02
Oshae Brissett,IND,21.0,519.0,0.638,24.714285714285715
Otto Porter Jr.,2TM,28.0,606.0,0.552,21.642857142857142
P.J. Tucker,2TM,52.0,1356.0,0.51,26.076923076923077
P.J. Washington,CHO,64.0,1954.0,0.549,30.53125
PJ Dozier,DEN,50.0,1088.0,0.501,21.76
Pascal Siakam,TOR,56.0,2006.0,0.547,35.82142857142857
Pat Connaughton,MIL,69.0,1575.0,0.578,22.82608695652174
Patrick Beverley,LAC,37.0,832.0,0.58,22.486486486486488
Patrick McCaw,TOR,5.0,33.0,1.078,6.6
Patrick Patterson,LAC,38.0,582.0,0.571,15.31578947368421
Patrick Williams,CHI,71.0,1983.0,0.562,27.929577464788732
Patty Mills,SAS,68.0,1685.0,0.57,24.779411764705884
Paul George,LAC,54.0,1821.0,0.598,33.72222222222222
Paul Millsap,DEN,56.0,1162.0,0.565,20.75
Paul Reed,PHI,26.0,177.0,0.54,6.8076923076923075
Paul Watson,TOR,27.0,297.0,0.649,11.0
Payton Pritchard,BOS,66.0,1268.0,0.582,19.21212121212121
Precious Achiuwa,MIA,61.0,737.0,0.55,12.081967213114755
Quinn Cook,2TM,23.0,157.0,0.531,6.826086956521739
Quinndary Weatherspoon,SAS,20.0,121.0,0.547,6.05
R.J. Hampton,2TM,51.0,888.0,0.507,17.41176470588235
RJ Barrett,NYK,72.0,2511.0,0.535,34.875
Rajon Rondo,2TM,45.0,770.0,0.544,17.11111111111111
Raul Neto,WAS,64.0,1403.0,0.575,21.921875
Ray Spalding,HOU,2.0,19.0,0.41,9.5
Rayjon Tucker,PHI,14.0,68.0,0.645,4.857142857142857
