Player,Team,On-Off
Kira Lewis Jr.,NOP,1.8
Kostas Antetokounmpo,LAL,14.7
Kris Dunn,ATL,-35.8
Kristaps Porziņģis,DAL,-4.9
Kyle Anderson,MEM,0.8
Kyle Guy,SAC,-4.2
Kyle Kuzma,LAL,-8.5
Kyle Lowry,TOR,-0.8
Kyrie Irving,BRK,1.4
LaMarcus Aldridge,2TM,-3.6
LaMelo Ball,CHO,-3.4
Lamar Stevens,CLE,0.0
Landry Shamet,BRK,-4.2
Langston Galloway,PHO,-3.7
Larry Nance Jr.,CLE,2.8
Lauri Markkanen,CHI,-2.5
LeBron James,LAL,10.6
Lonnie Walker IV,SAS,-8.9
Lonzo Ball,NOP,2.7
Lou Williams,2TM,-4.4
Louis King,SAC,2.0
Luguentz Dort,OKC,5.6
Luka Dončić,DAL,3.0
Luka Šamanić,SAS,-4.3
Luke Kennard,LAC,-9.5
Luke Kornet,2TM,5.7
Malachi Flynn,TOR,-6.2
Malcolm Brogdon,IND,-1.5
Malik Beasley,MIN,-2.9
Malik Fitts,LAC,-30.7
Malik Monk,CHO,3.5
Mamadi Diakite,MIL,-0.2
Marc Gasol,LAL,1.7
Marcus Morris,LAC,-2.6
Marcus Smart,BOS,3.3
Markelle Fultz,ORL,4.3
Markieff Morris,LAL,-3.9
Markus Howard,DEN,-21.2
Marques Bolden,CLE,17.5
Marquese Chriss,GSW,-45.5
Marvin Bagley III,SAC,0.6
Mason Jones,2TM,-6.4
Mason Plumlee,DET,-1.4
Matisse Thybulle,PHI,1.6
Matt Thomas,2TM,-14.2
Matthew Dellavedova,CLE,6.1
Maurice Harkless,2TM,1.6
Max Strus,MIA,-5.8
Maxi Kleber,DAL,4.3
Meyers Leonard,MIA,-6.9
Mfiondu Kabengele,2TM,-11.5
Michael Carter-Williams,ORL,8.1
Michael Porter Jr.,DEN,7.4
Mikal Bridges,PHO,4.4
Mike Conley,UTA,13.2
Mike James,BRK,-1.9
Mike Muscala,OKC,12.1
Mike Scott,PHI,-7.8
Miles Bridges,CHO,5.5
Mitchell Robinson,NYK,-5.5
Miye Oni,UTA,-0.6
Mo Bamba,ORL,-5.6
Monte Morris,DEN,1.6
Montrezl Harrell,LAL,-2.5
Moritz Wagner,3TM,-4.3
Moses Brown,OKC,-11.3
Mychal Mulder,GSW,3.0
Myles Turner,IND,1.5
Naji Marshall,NOP,-2.5
Nassir Little,POR,-5.8
Nate Darling,CHO,-65.2
Nate Hinton,DAL,-32.4
Nathan Knight,ATL,-6.3
Naz Reid,MIN,-8.7
Nemanja Bjelica,2TM,-4.4
Nerlens Noel,NYK,-3.2
Nic Claxton,BRK,10.4
Nick Richards,CHO,-12.1
Nickeil Alexander-Walker,NOP,-2.7
Nico Mannion,GSW,-11.3
Nicolas Batum,LAC,5.3
Nicolò Melli,2TM,1.6
Nikola Jokić,DEN,6.4
Nikola Vučević,2TM,-1.1
Noah Vonleh,BRK,-81.4
Norman Powell,2TM,1.7
Norvel Pelle,3TM,9.6
OG Anunoby,TOR,7.0
Obi Toppin,NYK,0.3
Onyeka Okongwu,ATL,-10.0
Oshae Brissett,IND,6.6
Otto Porter Jr.,2TM,-1.7
P.J. Tucker,2TM,-1.9
P.J. Washington,CHO,4.1
PJ Dozier,DEN,7.6
Pascal Siakam,TOR,8.6
Pat Connaughton,MIL,2.6
Patrick Beverley,LAC,3.3
Patrick McCaw,TOR,-27.6
Patrick Patterson,LAC,-6.0
Patrick Williams,CHI,-13.0
Patty Mills,SAS,6.3
Paul George,LAC,10.2
Paul Millsap,DEN,-0.6
Paul Reed,PHI,4.3
Paul Watson,TOR,-1.1
Payton Pritchard,BOS,-1.0
Precious Achiuwa,MIA,-8.0
Quinn Cook,2TM,2.6
Quinndary Weatherspoon,SAS,-23.0
R.J. Hampton,2TM,-9.5
RJ Barrett,NYK,0.4
Rajon Rondo,2TM,-3.7
Raul Neto,WAS,2.1
Ray Spalding,HOU,-15.8
Rayjon Tucker,PHI,-15.6
Reggie Bullock,NYK,-1.3
Reggie Jackson,LAC,2.7
Reggie Perry,BRK,-10.5
Richaun Holmes,SAC,8.4
Ricky Rubio,MIN,0.5
Robert Covington,POR,7.0
Robert Franks,ORL,-5.6
Robert Williams,BOS,-0.9
Robert Woodard II,SAC,14.1
Robin Lopez,WAS,0.0
Rodions Kurucs,3TM,2.5
Rodney Hood,2TM,-9.4
Rodney McGruder,DET,2.3
Romeo Langford,BOS,-12.9
Rondae Hollis-Jefferson,POR,0.2
Royce O'Neale,UTA,3.7
Rudy Gay,SAS,10.1
Rudy Gobert,UTA,19.1
Rui Hachimura,WAS,-1.8
Russell Westbrook,WAS,1.3
Ryan Arcidiacono,CHI,1.9
Saben Lee,DET,-1.1
Saddiq Bey,DET,-2.7
Sam Merrill,MIL,-13.4
Sean McDermott,MEM,-19.8
Sekou Doumbouya,DET,-3.3
Semi Ojeleye,BOS,-0.9
Serge Ibaka,LAC,1.8
Seth Curry,PHI,4.4
Shai Gilgeous-Alexander,OKC,4.4
Shake Milton,PHI,-2.5
Shaquille Harrison,2TM,-14.5
Sindarius Thornwell,2TM,5.0
Skylar Mays,ATL,-0.2
Solomon Hill,ATL,-1.0
Spencer Dinwiddie,BRK,24.2
Stanley Johnson,TOR,-7.7
Stephen Curry,GSW,8.6
Sterling Brown,HOU,3.1
Steven Adams,NOP,0.8
Svi Mykhailiuk,2TM,-0.5
T.J. Leaf,POR,-27.2
T.J. McConnell,IND,4.5
T.J. Warren,IND,1.4
Tacko Fall,BOS,11.1
Taj Gibson,NYK,7.4
Talen Horton-Tucker,LAL,-2.0
Taurean Prince,2TM,0.1
Terance Mann,LAC,-5.0
Terence Davis,2TM,-0.4
Terrance Ferguson,PHI,-23.0
Terrence Ross,ORL,0.8
Terry Rozier,CHO,0.1
Thaddeus Young,CHI,10.2
Thanasis Antetokounmpo,MIL,-2.6
Theo Pinson,NYK,-14.6
Thomas Bryant,WAS,-1.6
Thon Maker,CLE,-1.0
Théo Maledon,OKC,-12.8
Tim Frazier,MEM,3.2
Tim Hardaway Jr.,DAL,-2.5
Timothé Luwawu-Cabarrot,BRK,-7.7
Tobias Harris,PHI,4.0
Tomáš Satoranský,CHI,1.7
Tony Bradley,2TM,2.5
Tony Snell,ATL,1.5
Torrey Craig,2TM,-9.7
Trae Young,ATL,7.1
Tre Jones,SAS,-16.2
Tremont Waters,BOS,-3.9
Trent Forrest,UTA,-16.8
Trevor Ariza,MIA,4.0
Trey Burke,DAL,-2.2
Trey Lyles,SAS,-14.4
Tristan Thompson,BOS,0.0
Troy Brown Jr.,2TM,3.1
Ty Jerome,OKC,2.5
Ty-Shon Alexander,PHO,-11.3
Tyler Bey,DAL,-30.0
Tyler Cook,2TM,0.0
Tyler Herro,MIA,-5.3
Tyler Johnson,BRK,-0.2
Tyrell Terry,DAL,-3.9
Tyrese Haliburton,SAC,-2.3
Tyrese Maxey,PHI,-10.6
Tyus Jones,MEM,-6.6
Udoka Azubuike,UTA,-59.8
Udonis Haslem,MIA,66.7
Vernon Carey Jr.,CHO,-5.2
Victor Oladipo,3TM,1.8
Vincent Poirier,PHI,-25.7
Vlatko Čančar,DEN,-23.8
Wayne Ellington,DET,0.5
Wendell Carter Jr.,2TM,-6.4
Wenyen Gabriel,NOP,1.1
Wes Iwundu,2TM,-9.5
Wesley Matthews,LAL,-0.9
Will Barton,DEN,2.5
Will Magnay,NOP,-142.4
Willie Cauley-Stein,DAL,7.6
Willy Hernangómez,NOP,0.6
Xavier Tillman Sr.,MEM,1.2
Yogi Ferrell,2TM,-2.9
Yuta Watanabe,TOR,-2.6
Zach LaVine,CHI,0.8
Zeke Nnaji,DEN,-14.3
Zion Williamson,NOP,5.6
