Player,Team,On-Off
Derrick Jones Jr.,MIA,-2.6
Derrick Rose,DET,0.9
Derrick Walton,2TM,-8.2
Derrick White,SAS,3.2
Devin Booker,PHO,6.0
Devon Hall,OKC,5.7
Devontae Cacok,LAL,11.8
Devonte' Graham,CHO,8.0
Dewan Hernandez,TOR,19.8
Dewayne Dedmon,2TM,2.0
Dillon Brooks,MEM,-0.6
Dion Waiters,2TM,1.0
Domantas Sabonis,IND,2.9
Donovan Mitchell,UTA,-0.9
Donta Hall,2TM,-11.1
Donte DiVincenzo,MIL,5.8
Dorian Finney-Smith,DAL,4.9
Doug McDermott,IND,2.5
Dragan Bender,2TM,2.8
Draymond Green,GSW,2.8
Drew Eubanks,SAS,-11.3
Duncan Robinson,MIA,11.7
Dusty Hannahs,MEM,13.7
Dwayne Bacon,CHO,-0.9
Dwight Howard,LAL,1.2
Dwight Powell,DAL,4.9
Dāvis Bertāns,WAS,7.9
Džanan Musa,BRK,-2.8
E'Twaun Moore,NOP,-1.3
Ed Davis,UTA,-20.5
Edmond Sumner,IND,-4.9
Elfrid Payton,NYK,4.4
Elie Okobo,PHO,-6.3
Emmanuel Mudiay,UTA,-6.5
Enes Freedom,BOS,4.3
Eric Bledsoe,MIL,3.5
Eric Gordon,HOU,-3.8
Eric Mika,SAC,19.5
Eric Paschall,GSW,-4.5
Ersan İlyasova,MIL,-6.4
Evan Fournier,ORL,-2.1
Evan Turner,ATL,-4.6
Frank Jackson,NOP,-2.8
Frank Kaminsky,PHO,-1.4
Frank Mason III,MIL,-9.1
Frank Ntilikina,NYK,4.8
Fred VanVleet,TOR,-3.3
Furkan Korkmaz,PHI,-0.6
Gabe Vincent,MIA,-20.6
Garrett Temple,BRK,-1.9
Garrison Mathews,WAS,12.9
Gary Clark,2TM,-4.4
Gary Harris,DEN,3.3
Gary Payton II,WAS,-12.1
Gary Trent Jr.,POR,-1.9
George Hill,MIL,2.7
Georges Niang,UTA,-6.7
Giannis Antetokounmpo,MIL,12.7
Glenn Robinson III,2TM,-0.7
Goga Bitadze,IND,-3.4
Goran Dragić,MIA,0.8
Gordon Hayward,BOS,4.1
Gorgui Dieng,2TM,0.1
Grant Williams,BOS,1.0
Grayson Allen,MEM,-6.3
Hamidou Diallo,OKC,-1.0
Harrison Barnes,SAC,-1.4
Harry Giles,SAC,-8.2
Hassan Whiteside,POR,8.0
Henry Ellenson,BRK,37.7
Ian Mahinmi,WAS,-0.2
Ignas Brazdeikis,NYK,-8.1
Iman Shumpert,BRK,-8.9
Isaac Bonga,WAS,7.1
Isaiah Hartenstein,HOU,4.8
Isaiah Roby,OKC,-9.7
Isaiah Thomas,WAS,-8.3
Ish Smith,WAS,2.2
Ivica Zubac,LAC,4.4
J.J. Barea,DAL,-4.8
J.P. Macura,CLE,308.1
J.R. Smith,LAL,-22.7
JJ Redick,NOP,0.1
Ja Morant,MEM,1.3
JaKarr Sampson,IND,-1.2
JaMychal Green,LAC,-2.0
JaVale McGee,LAL,-0.1
Jabari Parker,2TM,2.6
Jacob Evans,2TM,-2.1
Jae Crowder,2TM,-3.7
Jahlil Okafor,NOP,-10.6
Jake Layman,MIN,7.3
Jakob Poeltl,SAS,9.6
Jalen Brunson,DAL,4.5
Jalen Lecque,PHO,-25.9
Jalen McDaniels,CHO,3.2
Jamal Crawford,BRK,29.3
Jamal Murray,DEN,7.0
James Ennis III,2TM,-0.2
James Harden,HOU,9.1
James Johnson,2TM,-5.0
Jared Dudley,LAL,-2.3
Jared Harper,PHO,-74.9
Jaren Jackson Jr.,MEM,-4.3
Jarred Vanderbilt,2TM,-28.2
Jarrell Brantley,UTA,-22.4
Jarrett Allen,BRK,3.2
Jarrett Culver,MIN,2.3
Jarrod Uthoff,2TM,13.7
Javonte Green,BOS,-9.1
Jaxson Hayes,NOP,-1.4
Jaylen Brown,BOS,-0.8
Jaylen Hoard,POR,4.7
Jaylen Nowell,MIN,5.1
Jayson Tatum,BOS,11.1
Jeff Green,2TM,-8.4
Jeff Teague,2TM,-1.2
Jerami Grant,DEN,-7.9
Jeremiah Martin,BRK,-7.1
Jeremy Lamb,IND,-4.0
Jeremy Pargo,GSW,8.9
Jerian Grant,WAS,-1.8
Jerome Robinson,2TM,-2.1
Jevon Carter,PHO,1.0
Jimmy Butler,MIA,6.4
Joakim Noah,LAC,-18.3
Joe Chealey,CHO,-15.7
Joe Harris,BRK,3.7
Joe Ingles,UTA,7.3
Joel Embiid,PHI,5.0
John Collins,ATL,4.1
John Henson,2TM,5.9
John Konchar,MEM,8.5
Johnathan Motley,LAC,-0.1
Johnathan Williams,WAS,-6.1
Jonah Bolden,2TM,-2.9
Jonas Valančiūnas,MEM,2.7
Jonathan Isaac,ORL,3.1
Jordan Bell,2TM,1.7
Jordan Bone,DET,8.6
Jordan Clarkson,2TM,2.0
Jordan McLaughlin,MIN,-3.1
Jordan McRae,3TM,0.0
Jordan Poole,GSW,0.6
Josh Gray,NOP,-11.7
Josh Hart,NOP,-2.4
Josh Jackson,MEM,5.3
Josh Magette,ORL,-0.1
Josh Okogie,MIN,-0.6
Josh Reaves,DAL,2.3
Josh Richardson,PHI,1.3
Jrue Holiday,NOP,5.4
Juan Toscano-Anderson,GSW,-6.8
Juancho Hernangómez,2TM,-2.9
Julius Randle,NYK,3.2
Justin Anderson,BRK,1.5
Justin Holiday,IND,-1.4
Justin Jackson,DAL,-4.9
Justin James,SAC,-0.7
Justin Patton,OKC,-33.4
Justin Robinson,WAS,33.1
Justin Wright-Foreman,UTA,-30.6
Justise Winslow,MIA,5.1
Jusuf Nurkić,POR,-0.3
Juwan Morgan,UTA,8.7
KZ Okpala,MIA,-35.1
Kadeem Allen,NYK,-4.3
Karl-Anthony Towns,MIN,4.0
Kawhi Leonard,LAC,11.5
Keita Bates-Diop,2TM,-9.1
Kelan Martin,MIN,2.7
Keldon Johnson,SAS,13.1
Kelly Olynyk,MIA,-2.5
Kelly Oubre Jr.,PHO,-1.1
Kemba Walker,BOS,-0.7
Kendrick Nunn,MIA,-3.3
Kenrich Williams,NOP,-0.1
Kent Bazemore,2TM,3.5
Kentavious Caldwell-Pope,LAL,-2.6
Kevin Hervey,OKC,-34.7
Kevin Huerter,ATL,2.3
Kevin Knox,NYK,-2.6
Kevin Love,CLE,-1.8
Kevin Porter Jr.,CLE,-5.6
Kevon Looney,GSW,-10.3
Khem Birch,ORL,-8.0
Khris Middleton,MIL,3.4
Khyri Thomas,DET,-26.3
Kostas Antetokounmpo,LAL,12.6
Kris Dunn,CHI,4.6
Kristaps Porziņģis,DAL,3.0
Ky Bowman,GSW,0.4
Kyle Alexander,MIA,-15.9
Kyle Anderson,MEM,-3.7
Kyle Guy,SAC,-52.4
Kyle Korver,MIL,-6.1
Kyle Kuzma,LAL,-0.2
Kyle Lowry,TOR,-0.5
Kyle O'Quinn,PHI,-8.3
Kyrie Irving,BRK,0.5
LaMarcus Aldridge,SAS,-5.3
Lance Thomas,BRK,-26.1
Landry Shamet,LAC,-3.3
Langston Galloway,DET,-1.1
Larry Nance Jr.,CLE,5.3
Lauri Markkanen,CHI,0.7
LeBron James,LAL,9.9
Lonnie Walker IV,SAS,2.0
Lonzo Ball,NOP,0.8
Lou Williams,LAC,-6.6
Louis King,DET,15.8
Luc Mbah a Moute,HOU,-14.8
Luguentz Dort,OKC,2.5
Luka Dončić,DAL,1.2
Luka Šamanić,SAS,7.3
Luke Kennard,DET,1.8
Luke Kornet,CHI,-2.0
Malcolm Brogdon,IND,0.8
Malcolm Miller,TOR,13.7
Malik Beasley,2TM,-1.6
Malik Monk,CHO,-5.4
Malik Newman,CLE,-34.9
Marc Gasol,TOR,5.9
Marco Belinelli,SAS,3.1
Marcus Morris,2TM,5.3
Marcus Smart,BOS,1.3
Marial Shayok,PHI,-21.9
Mario Hezonja,POR,-10.5
Markelle Fultz,ORL,-1.0
Markieff Morris,2TM,-3.8
Marko Gudurić,MEM,-2.6
Marques Bolden,CLE,55.7
Marquese Chriss,GSW,-0.2
Marvin Bagley III,SAC,-13.2
Marvin Williams,2TM,-0.1
Mason Plumlee,DEN,-4.1
Matisse Thybulle,PHI,0.8
Matt Mooney,CLE,24.8
Matt Thomas,TOR,0.4
Matthew Dellavedova,CLE,11.2
Maurice Harkless,2TM,-2.7
Max Strus,CHI,96.9
Maxi Kleber,DAL,-3.1
Melvin Frazier,ORL,-13.9
Meyers Leonard,MIA,2.1
Mfiondu Kabengele,LAC,-5.7
Michael Carter-Williams,ORL,3.7
Michael Frazier,HOU,-18.9
Michael Kidd-Gilchrist,2TM,7.3
Michael Porter Jr.,DEN,-2.4
Mikal Bridges,PHO,6.5
Mike Conley,UTA,-0.4
Mike Muscala,OKC,-4.2
Mike Scott,PHI,6.4
Miles Bridges,CHO,-7.5
Mitchell Robinson,NYK,5.9
Miye Oni,UTA,-11.1
Mo Bamba,ORL,3.5
Monte Morris,DEN,-2.0
Montrezl Harrell,LAC,-0.9
Moritz Wagner,WAS,-0.3
Moses Brown,POR,-45.2
Mychal Mulder,GSW,14.5
Myles Turner,IND,-3.3
Nassir Little,POR,-2.5
Naz Mitrou-Long,IND,23.0
Naz Reid,MIN,4.9
Nemanja Bjelica,SAC,2.4
Nerlens Noel,OKC,-2.2
Nic Claxton,BRK,-17.8
Nickeil Alexander-Walker,NOP,-3.4
Nicolas Batum,CHO,5.1
Nicolò Melli,NOP,-4.6
Nigel Williams-Goss,UTA,0.6
Nikola Jokić,DEN,6.2
Nikola Vučević,ORL,4.3
Noah Vonleh,2TM,-4.3
Norman Powell,TOR,-2.3
Norvel Pelle,PHI,-21.2
OG Anunoby,TOR,0.3
Omari Spellman,GSW,-0.9
Oshae Brissett,TOR,9.0
Otto Porter Jr.,CHI,7.3
P.J. Tucker,HOU,1.0
P.J. Washington,CHO,0.6
PJ Dozier,DEN,-8.1
Pascal Siakam,TOR,6.2
Pat Connaughton,MIL,-7.6
Patrick Beverley,LAC,6.6
Patrick McCaw,TOR,-7.8
Patrick Patterson,LAC,-4.1
Patty Mills,SAS,9.0
Paul George,LAC,3.1
Paul Millsap,DEN,10.1
Paul Watson,2TM,11.7
Quinn Cook,LAL,-1.0
Quinndary Weatherspoon,SAS,-11.6
RJ Barrett,NYK,-6.1
Rajon Rondo,LAL,-5.5
Raul Neto,PHI,-0.4
Rayjon Tucker,UTA,-8.5
Reggie Bullock,NYK,1.2
Reggie Jackson,2TM,6.6
Richaun Holmes,SAC,5.0
Ricky Rubio,PHO,6.3
Robert Covington,2TM,3.5
Robert Williams,BOS,-1.6
Robin Lopez,MIL,-10.0
Rodions Kurucs,BRK,-1.7
Rodney Hood,POR,2.4
Rodney McGruder,LAC,-6.8
Romeo Langford,BOS,4.6
Rondae Hollis-Jefferson,TOR,-3.1
Royce O'Neale,UTA,8.5
Rudy Gay,SAS,1.3
Rudy Gobert,UTA,10.9
Rui Hachimura,WAS,-6.1
Russell Westbrook,HOU,-0.5
Ryan Anderson,HOU,19.0
Ryan Arcidiacono,CHI,-1.3
Ryan Broekhoff,DAL,-4.2
Sekou Doumbouya,DET,-8.9
Semi Ojeleye,BOS,-9.5
Serge Ibaka,TOR,-5.0
Seth Curry,DAL,-2.0
Shabazz Napier,2TM,1.1
Shai Gilgeous-Alexander,OKC,3.4
Shake Milton,PHI,-3.2
Shamorie Ponds,TOR,0.0
Shaquille Harrison,CHI,12.2
Sindarius Thornwell,NOP,-4.6
Skal Labissière,POR,3.1
Solomon Hill,2TM,-3.0
Spencer Dinwiddie,BRK,3.2
Stanley Johnson,TOR,-1.3
Stanton Kidd,UTA,-2.5
Stephen Curry,GSW,-6.4
Sterling Brown,MIL,-6.6
Steven Adams,OKC,5.3
Svi Mykhailiuk,DET,5.1
T.J. Leaf,IND,-0.9
T.J. McConnell,IND,0.5
T.J. Warren,IND,2.5
Tacko Fall,BOS,8.4
Taj Gibson,NYK,-8.3
Talen Horton-Tucker,LAL,-15.8
Tariq Owens,PHO,-59.4
Taurean Prince,BRK,5.0
Terance Mann,LAC,-5.8
Terence Davis,TOR,3.0
Terrance Ferguson,OKC,-9.4
Terrence Ross,ORL,-4.0
Terry Rozier,CHO,-9.5
Thabo Sefolosha,HOU,0.4
Thaddeus Young,CHI,-5.8
Thanasis Antetokounmpo,MIL,-13.6
Theo Pinson,BRK,-4.1
Thomas Bryant,WAS,-4.2
Thon Maker,DET,-6.8
Tim Frazier,DET,-3.3
Tim Hardaway Jr.,DAL,1.7
Timothé Luwawu-Cabarrot,BRK,-1.4
Tobias Harris,PHI,1.4
Tomáš Satoranský,CHI,2.0
Tony Bradley,UTA,-4.4
Tony Snell,DET,-4.5
Torrey Craig,DEN,-11.3
Trae Young,ATL,7.4
Tremont Waters,BOS,1.5
Treveon Graham,2TM,-1.0
Trevor Ariza,2TM,1.7
Trey Burke,2TM,-0.7
Trey Lyles,SAS,-1.3
Tristan Thompson,CLE,-4.1
Troy Brown Jr.,WAS,-3.0
Troy Daniels,2TM,-3.3
Ty Jerome,PHO,-14.5
Tyler Cook,2TM,-13.3
Tyler Herro,MIA,-8.4
Tyler Johnson,2TM,-6.6
Tyler Zeller,SAS,34.5
Tyrone Wallace,ATL,-2.6
Tyson Chandler,HOU,1.8
Tyus Jones,MEM,-1.7
Udonis Haslem,MIA,-22.8
Vic Law,ORL,-6.1
Victor Oladipo,IND,-2.7
Vince Carter,ATL,-2.0
Vincent Poirier,BOS,-12.2
Vlatko Čančar,DEN,-10.0
Wayne Ellington,NYK,5.1
Wendell Carter Jr.,CHI,4.0
Wenyen Gabriel,2TM,-5.5
Wes Iwundu,ORL,3.5
Wesley Matthews,MIL,5.8
Will Barton,DEN,8.2
William Howard,HOU,-56.2
Willie Cauley-Stein,2TM,2.0
Willy Hernangómez,CHO,3.1
Wilson Chandler,BRK,-8.0
Yogi Ferrell,SAC,-0.6
Yuta Watanabe,MEM,3.5
Zach Collins,POR,8.9
Zach LaVine,CHI,-5.0
Zach Norvell,2TM,-26.3
Zhaire Smith,PHI,-15.6
Zion Williamson,NOP,7.6
Zylan Cheatham,NOP,-23.5
