Player,LEBRON,D-LEBRON,O-LEBRON
cameron payne,0.31,0.249,0.06
elfrid payton,0.31,-0.329,0.639
justise winslow,0.309,1.384,-1.075
alex len,0.305,0.677,-0.372
daniel theis,0.286,1.314,-1.028
ed davis,0.283,1.093,-0.81
danuel house jr.,0.259,0.271,-0.013
will barton,0.244,-0.817,1.061
demarre carroll,0.234,0.184,0.05
jared dudley,0.22,1.336,-1.117
josh magette,0.214,0.457,-0.243
josh richardson,0.211,1.076,-0.866
dwyane wade,0.209,-0.439,0.648
brook lopez,0.201,0.328,-0.126
davis bertans,0.194,0.243,-0.049
marcus smart,0.187,0.806,-0.619
cody zeller,0.161,1.06,-0.898
kent bazemore,0.157,0.717,-0.56
p.j. tucker,0.122,0.82,-0.698
goran dragic,0.119,-0.606,0.725
andre iguodala,0.113,0.461,-0.348
jakarr sampson,0.107,1.716,-1.608
michael kidd-gilchrist,0.1,1.015,-0.915
damion lee,0.085,0.137,-0.052
royce o'neale,0.083,0.897,-0.814
kyle collinsworth,0.076,0.545,-0.469
dario saric,0.072,-0.439,0.511
jeff green,0.047,-0.749,0.797
isaiah canaan,0.033,-0.213,0.245
luke kornet,0.019,0.192,-0.173
kevon looney,0.003,0.938,-0.935
klay thompson,-0.004,-1.076,1.071
mason plumlee,-0.005,1.223,-1.227
kosta koufos,-0.015,0.799,-0.814
taj gibson,-0.022,0.002,-0.024
bobby portis,-0.037,-0.98,0.942
trevor ariza,-0.05,0.396,-0.445
nicolas batum,-0.08,-0.125,0.045
noah vonleh,-0.084,1.049,-1.133
george hill,-0.089,-0.058,-0.031
ron baker,-0.103,0.562,-0.665
tomas satoransky,-0.125,-0.14,0.015
aron baynes,-0.126,1.81,-1.935
amir johnson,-0.128,1.442,-1.57
tyler johnson,-0.134,0.238,-0.371
greg monroe,-0.175,0.291,-0.467
john collins,-0.191,1.031,-1.222
mario chalmers,-0.192,0.497,-0.688
lou williams,-0.21,-3.545,3.335
emeka okafor,-0.217,1.104,-1.321
richaun holmes,-0.227,0.006,-0.233
lauri markkanen,-0.232,-0.238,0.006
marvin williams,-0.242,-0.016,-0.225
terry rozier,-0.251,-0.459,0.208
channing frye,-0.263,0.062,-0.325
bam adebayo,-0.278,0.911,-1.189
antonio blakeney,-0.281,-0.638,0.357
maxi kleber,-0.288,0.979,-1.267
langston galloway,-0.294,0.017,-0.31
ramon sessions,-0.295,-0.565,0.27
jerami grant,-0.311,-0.03,-0.282
frank kaminsky,-0.311,-0.293,-0.018
cedi osman,-0.336,0.201,-0.537
alec peters,-0.387,-0.488,0.101
james johnson,-0.389,-0.218,-0.17
brandon ingram,-0.398,-0.112,-0.285
domantas sabonis,-0.407,0.319,-0.726
yogi ferrell,-0.419,0.0,-0.419
d.j. augustin,-0.424,-1.003,0.578
gerald green,-0.434,-1.506,1.071
sam dekker,-0.438,-0.25,-0.188
tyler cavanaugh,-0.439,-0.294,-0.145
wayne ellington,-0.446,-1.461,1.015
al jefferson,-0.453,0.512,-0.965
malcolm brogdon,-0.461,-0.365,-0.096
sean kilpatrick,-0.474,-0.523,0.049
rondae hollis-jefferson,-0.478,0.462,-0.94
trevor booker,-0.481,0.399,-0.88
tyler zeller,-0.485,0.744,-1.228
andrew harrison,-0.515,-0.243,-0.272
jerian grant,-0.518,-0.624,0.106
jae crowder,-0.554,-0.372,-0.183
devin harris,-0.569,-0.674,0.105
marreese speights,-0.6,-1.266,0.666
justin holiday,-0.604,0.529,-1.132
wesley johnson,-0.605,1.511,-2.116
austin rivers,-0.617,-1.19,0.572
marquese chriss,-0.66,1.23,-1.89
jodie meeks,-0.661,-1.223,0.561
shabazz napier,-0.665,-0.429,-0.236
rodney mcgruder,-0.681,0.029,-0.71
jamil wilson,-0.686,-0.031,-0.655
julius randle,-0.702,-1.062,0.36
mike muscala,-0.727,0.051,-0.778
rajon rondo,-0.727,-0.828,0.101
dante exum,-0.747,-0.614,-0.133
kenneth faried,-0.752,-0.532,-0.22
cory joseph,-0.755,-0.209,-0.546
tristan thompson,-0.76,0.265,-1.025
jarrett jack,-0.761,-0.532,-0.229
wesley matthews,-0.768,-0.114,-0.654
allen crabbe,-0.782,-0.649,-0.133
josh hart,-0.783,-0.467,-0.316
ish smith,-0.785,-0.433,-0.352
devin booker,-0.792,-1.975,1.184
jonas jerebko,-0.794,-0.17,-0.624
ryan anderson,-0.808,-0.807,-0.001
tyson chandler,-0.823,0.899,-1.722
manu ginobili,-0.826,-0.918,0.092
vince carter,-0.846,0.429,-1.275
michael beasley,-0.871,-1.472,0.601
cheick diallo,-0.883,0.682,-1.564
markieff morris,-0.89,0.224,-1.115
nemanja bjelica,-0.897,-0.261,-0.636
reggie bullock jr.,-0.9,-0.51,-0.39
bojan bogdanovic,-0.916,-0.604,-0.312
juancho hernangomez,-0.918,-0.419,-0.499
dewayne dedmon,-0.922,0.984,-1.906
shelvin mack,-0.922,-0.7,-0.222
avery bradley,-0.967,0.05,-1.017
frank mason iii,-0.975,-0.082,-0.893
lance stephenson,-0.989,-0.689,-0.3
wes iwundu,-1.008,0.512,-1.52
davon reed,-1.015,0.179,-1.194
derrick jones jr.,-1.021,-0.16,-0.861
t.j. warren,-1.025,-1.476,0.452
kris dunn,-1.031,0.63,-1.661
brandon jennings,-1.034,-0.894,-0.14
jabari parker,-1.049,-1.884,0.835
myke henry,-1.062,0.12,-1.182
patrick patterson,-1.062,0.344,-1.405
troy williams,-1.063,-0.631,-0.432
omri casspi,-1.08,0.121,-1.201
stanley johnson,-1.086,0.935,-2.021
jordan clarkson,-1.125,-1.773,0.648
kyle kuzma,-1.126,-1.229,0.102
marco belinelli,-1.129,-1.506,0.376
corey brewer,-1.14,0.07,-1.21
tyler ennis,-1.145,0.274,-1.419
og anunoby,-1.149,0.051,-1.2
dennis smith jr.,-1.154,-0.488,-0.666
glenn robinson iii,-1.159,-0.395,-0.764
jordan mickey,-1.176,0.574,-1.75
thon maker,-1.177,0.345,-1.522
luke babbitt,-1.182,-0.311,-0.871
chandler parsons,-1.183,-0.853,-0.33
kelly oubre jr.,-1.195,-0.915,-0.28
joe harris,-1.198,-0.99,-0.208
briante weber,-1.198,-0.407,-0.791
milos teodosic,-1.2,-1.423,0.223
maurice harkless,-1.209,0.817,-2.026
jamel artis,-1.211,-0.513,-0.698
c.j. williams,-1.216,-0.301,-0.915
sindarius thornwell,-1.239,0.535,-1.775
caris levert,-1.252,-0.795,-0.458
malcolm delaney,-1.252,-0.3,-0.952
buddy hield,-1.256,-0.568,-0.688
harrison barnes,-1.267,-0.714,-0.553
dante cunningham,-1.271,-0.049,-1.222
shane larkin,-1.276,-0.008,-1.268
gorgui dieng,-1.282,0.426,-1.708
raul neto,-1.285,-0.462,-0.823
malachi richardson,-1.286,0.255,-1.541
zach randolph,-1.296,-0.739,-0.557
alec burks,-1.313,-0.449,-0.863
johnny o'bryant iii,-1.313,-0.305,-1.008
marcus morris sr.,-1.322,-1.382,0.06
james ennis iii,-1.328,-0.064,-1.264
ian mahinmi,-1.336,0.883,-2.219
travis wear,-1.337,0.297,-1.634
alex caruso,-1.341,0.485,-1.825
jonathan isaac,-1.352,1.808,-3.16
denzel valentine,-1.357,-0.029,-1.328
luc mbah a moute,-1.373,0.432,-1.805
torrey craig,-1.377,-0.332,-1.045
markelle fultz,-1.377,-0.615,-0.761
jarrett allen,-1.397,0.009,-1.406
jason terry,-1.398,0.318,-1.716
alex abrines,-1.408,-1.019,-0.389
wilson chandler,-1.431,-0.078,-1.354
aaron harrison,-1.431,-0.142,-1.289
dwight buycks,-1.439,-0.84,-0.599
bogdan bogdanovic,-1.448,-0.55,-0.898
taurean prince,-1.46,-0.179,-1.28
evan fournier,-1.463,-1.433,-0.03
pat connaughton,-1.472,-0.826,-0.646
d'angelo russell,-1.484,-2.038,0.553
quincy acy,-1.514,0.047,-1.561
tony parker,-1.517,-0.61,-0.907
garrett temple,-1.533,-0.003,-1.531
mario hezonja,-1.538,-0.526,-1.012
deandre' bembry,-1.554,0.999,-2.553
justin anderson,-1.555,-1.447,-0.108
ivan rabb,-1.56,-0.195,-1.364
dorian finney-smith,-1.565,-0.051,-1.514
jr smith,-1.573,-1.23,-0.343
ryan arcidiacono,-1.621,0.497,-2.118
jawun evans,-1.631,-0.003,-1.628
tyler ulis,-1.653,-0.682,-0.971
damyean dotson,-1.668,-0.997,-0.672
raymond felton,-1.689,-1.21,-0.479
doug mcdermott,-1.723,-1.122,-0.601
jamychal green,-1.73,-0.501,-1.229
tarik black,-1.731,0.395,-2.126
isaiah thomas,-1.733,-2.535,0.802
nick young,-1.763,-1.876,0.114
luke kennard,-1.785,-0.628,-1.157
rodney hood,-1.789,-1.627,-0.162
skal labissiere,-1.791,0.219,-2.01
bryn forbes,-1.795,-0.814,-0.981
iman shumpert,-1.802,-0.158,-1.644
bismack biyombo,-1.805,0.408,-2.213
deandre liggins,-1.812,0.971,-2.783
jose calderon,-1.813,-0.454,-1.359
e'twaun moore,-1.828,-1.117,-0.711
robin lopez,-1.836,0.296,-2.132
rodney purvis,-1.869,-1.287,-0.582
nik stauskas,-1.869,-0.81,-1.058
terrence ross,-1.878,-0.293,-1.586
evan turner,-1.888,-0.172,-1.715
david nwaba,-1.909,-0.355,-1.555
mike scott,-1.927,-1.251,-0.675
jahlil okafor,-1.934,0.2,-2.133
derrick rose,-1.944,-1.508,-0.436
treveon graham,-1.95,0.194,-2.144
t.j. mcconnell,-1.965,-0.366,-1.599
zach collins,-1.968,0.194,-2.162
andrew white iii,-1.98,-0.416,-1.564
jarell martin,-2.046,-0.191,-1.855
tyrone wallace,-2.054,-1.156,-0.898
tyler dorsey,-2.187,-1.183,-1.003
sterling brown,-2.195,-0.713,-1.483
dion waiters,-2.198,-1.034,-1.163
isaiah taylor,-2.268,-1.073,-1.195
shaun livingston,-2.292,-0.807,-1.485
tony allen,-2.315,-0.631,-1.684
miles plumlee,-2.328,1.127,-3.454
frank ntilikina,-2.345,-0.475,-1.87
dwayne bacon,-2.389,0.161,-2.55
matthew dellavedova,-2.393,-1.198,-1.195
patrick mccaw,-2.408,-1.171,-1.237
isaiah hicks,-2.409,-0.315,-2.095
troy daniels,-2.439,-2.436,-0.004
deyonta davis,-2.45,-0.822,-1.628
justin jackson,-2.459,-0.566,-1.892
timofey mozgov,-2.46,0.838,-3.298
courtney lee,-2.507,-1.36,-1.148
josh huestis,-2.539,-0.069,-2.47
tony snell,-2.597,-0.826,-1.771
cristiano felicio,-2.653,-0.59,-2.063
joe johnson,-2.666,-1.241,-1.425
josh jackson,-2.668,-1.45,-1.217
timothe luwawu-cabarrot,-2.702,-1.649,-1.053
quinn cook,-2.705,-1.637,-1.067
norman powell,-2.802,-0.767,-2.035
darius miller,-2.831,-2.458,-0.373
abdel nader,-2.841,-0.41,-2.43
malik monk,-2.847,-1.945,-0.902
paul zipser,-2.862,0.222,-3.084
de'aaron fox,-2.903,-1.357,-1.546
jameer nelson,-2.919,-1.215,-1.704
lance thomas,-2.979,0.046,-3.025
terrance ferguson,-3.014,-1.176,-1.837
jerryd bayless,-3.014,-0.855,-2.159
dillon brooks,-3.045,-1.079,-1.966
ian clark,-3.157,-1.635,-1.521
emmanuel mudiay,-3.185,-1.784,-1.401
dragan bender,-3.245,-0.308,-2.937
joe young,-3.25,-1.72,-1.53
wayne selden,-3.278,-1.975,-1.303
jonathon simmons,-3.3,-1.61,-1.69
ben mclemore,-3.342,-1.258,-2.083
semi ojeleye,-3.399,-0.4,-2.999
jamal crawford,-3.431,-3.143,-0.288
arron afflalo,-4.011,-1.412,-2.599
kobi simmons,-4.176,-2.038,-2.138
