Player,LEBRON,D-LEBRON,O-LEBRON
deandre ayton,1.153,0.916,0.237
de'aaron fox,1.132,-1.034,2.166
devonte' graham,1.131,-0.588,1.719
frank kaminsky,1.123,0.585,0.539
blake griffin,1.117,0.365,0.752
michael porter jr.,1.098,-0.403,1.5
delon wright,1.079,0.847,0.232
domantas sabonis,1.069,0.879,0.19
malcolm brogdon,1.056,-1.402,2.458
nic claxton,1.045,1.825,-0.78
nikola vucevic,1.035,0.651,0.384
duncan robinson,1.032,1.365,-0.333
cameron johnson,1.025,0.618,0.407
derrick white,1.02,0.343,0.677
t.j. mcconnell,1.002,0.151,0.85
reggie jackson,1.0,0.359,0.641
nicolas batum,0.985,1.051,-0.067
jakob poeltl,0.95,2.016,-1.066
kyle lowry,0.934,0.024,0.91
jaren jackson jr.,0.905,0.361,0.544
royce o'neale,0.881,1.542,-0.661
jordan clarkson,0.849,-1.267,2.116
cameron payne,0.848,-0.16,1.009
chris chiozza,0.843,0.102,0.741
de'anthony melton,0.827,0.598,0.229
shai gilgeous-alexander,0.82,-0.827,1.647
victor oladipo,0.812,0.415,0.398
goga bitadze,0.741,0.633,0.108
ricky rubio,0.739,-0.034,0.773
dorian finney-smith,0.737,0.993,-0.256
patrick beverley,0.732,1.231,-0.499
richaun holmes,0.685,0.426,0.258
christian wood,0.665,0.133,0.532
jalen brunson,0.628,-0.342,0.97
jordan mclaughlin,0.593,0.65,-0.057
derrick favors,0.588,1.467,-0.878
ivica zubac,0.527,1.3,-0.772
cody zeller,0.526,0.544,-0.018
dewayne dedmon,0.525,0.697,-0.172
willy hernangomez,0.505,-0.039,0.544
trevor ariza,0.494,1.205,-0.711
kevin huerter,0.492,0.398,0.093
dwight powell,0.48,1.203,-0.723
brandon ingram,0.468,-0.896,1.364
marcus morris sr.,0.459,-0.211,0.669
taj gibson,0.455,1.787,-1.332
thomas bryant,0.446,0.885,-0.439
zach lavine,0.443,-1.512,1.955
xavier tillman,0.429,1.38,-0.951
ish smith,0.384,0.957,-0.573
jeremy lamb,0.382,-0.299,0.682
willie cauley-stein,0.379,1.819,-1.44
dario saric,0.373,0.351,0.022
rudy gay,0.342,-0.064,0.406
raul neto,0.336,0.753,-0.417
mason plumlee,0.334,1.72,-1.387
mitchell robinson,0.331,1.038,-0.707
joe harris,0.328,-0.668,0.996
jevon carter,0.319,0.188,0.13
naz reid,0.297,0.632,-0.335
matisse thybulle,0.274,1.999,-1.725
lamarcus aldridge,0.274,0.532,-0.258
julius randle,0.266,0.116,0.15
pj dozier,0.239,0.923,-0.684
larry nance jr.,0.228,1.866,-1.637
javale mcgee,0.221,1.281,-1.06
mo bamba,0.186,0.389,-0.203
terance mann,0.184,0.095,0.089
marc gasol,0.166,2.023,-1.857
luke kornet,0.164,1.346,-1.182
buddy hield,0.145,-0.697,0.842
daniel theis,0.143,0.945,-0.802
will barton,0.129,0.131,-0.002
tristan thompson,0.129,1.33,-1.201
kendrick nunn,0.126,-0.32,0.446
furkan korkmaz,0.089,-0.573,0.662
isaiah stewart,0.086,1.534,-1.448
deandre jordan,0.077,1.026,-0.949
oshae brissett,0.076,-0.088,0.164
jaxson hayes,0.07,0.622,-0.552
jaylen brown,0.068,-0.417,0.486
drew eubanks,0.068,1.094,-1.026
derrick rose,0.067,-0.692,0.759
pat connaughton,0.062,0.409,-0.347
bobby portis,0.06,0.01,0.05
jerami grant,0.051,-0.216,0.267
ed davis,0.032,1.808,-1.776
norman powell,0.024,-0.548,0.572
evan fournier,0.02,-0.217,0.237
davis bertans,0.017,-0.68,0.698
harrison barnes,0.016,-0.628,0.645
jae crowder,0.008,0.573,-0.565
de'andre hunter,-0.006,0.122,-0.128
lamelo ball,-0.006,-0.361,0.355
danny green,-0.029,0.325,-0.354
gordon hayward,-0.057,-0.243,0.186
wendell carter jr.,-0.061,0.907,-0.967
bogdan bogdanovic,-0.064,-0.705,0.642
aaron gordon,-0.09,0.138,-0.228
facundo campazzo,-0.13,0.255,-0.385
andrew wiggins,-0.131,0.629,-0.76
tony bradley,-0.14,0.693,-0.832
alec burks,-0.161,-0.521,0.36
jae'sean tate,-0.175,0.182,-0.357
grayson allen,-0.222,-0.282,0.06
nicolo melli,-0.222,0.023,-0.246
jarrett allen,-0.23,0.264,-0.494
dwight howard,-0.252,0.804,-1.056
onyeka okongwu,-0.285,1.187,-1.472
danilo gallinari,-0.295,-0.912,0.617
otto porter jr.,-0.297,-0.014,-0.283
mike muscala,-0.298,-0.007,-0.291
georges niang,-0.305,0.158,-0.463
marvin bagley iii,-0.323,-0.294,-0.029
jeff green,-0.335,-0.724,0.388
bojan bogdanovic,-0.337,-1.478,1.141
kevon looney,-0.338,0.678,-1.016
gorgui dieng,-0.343,0.043,-0.385
eric bledsoe,-0.346,-0.15,-0.196
kent bazemore,-0.346,1.509,-1.855
alex len,-0.356,2.01,-2.366
tomas satoransky,-0.366,0.309,-0.675
hassan whiteside,-0.381,0.89,-1.271
yuta watanabe,-0.404,0.967,-1.371
gabriel deck,-0.422,-0.265,-0.158
terry rozier,-0.427,-1.566,1.139
justin patton,-0.445,0.923,-1.368
moses brown,-0.45,0.769,-1.22
cody martin,-0.454,0.673,-1.127
monte morris,-0.46,-0.935,0.475
dillon brooks,-0.464,0.113,-0.577
tim hardaway jr.,-0.465,-1.529,1.064
matthew dellavedova,-0.507,-0.142,-0.365
josh richardson,-0.513,-0.389,-0.124
immanuel quickley,-0.531,-1.481,0.95
josh okogie,-0.554,1.065,-1.619
steven adams,-0.555,0.913,-1.468
p.j. washington,-0.56,0.843,-1.403
eric gordon,-0.562,-1.27,0.708
denzel valentine,-0.566,0.298,-0.864
naji marshall,-0.572,0.631,-1.203
nemanja bjelica,-0.577,-0.487,-0.09
david nwaba,-0.583,0.23,-0.813
keldon johnson,-0.587,0.254,-0.841
moritz wagner,-0.595,0.468,-1.063
torrey craig,-0.599,-0.205,-0.394
john wall,-0.603,-1.293,0.69
deni avdija,-0.612,1.572,-2.184
sindarius thornwell,-0.656,0.308,-0.964
juan toscano-anderson,-0.656,1.567,-2.223
andre iguodala,-0.665,1.116,-1.782
jaylen nowell,-0.672,-0.958,0.286
kira lewis jr.,-0.702,-0.183,-0.519
troy brown jr.,-0.73,0.413,-1.143
talen horton-tucker,-0.733,0.246,-0.979
markelle fultz,-0.735,0.262,-0.997
og anunoby,-0.747,0.555,-1.303
seth curry,-0.747,-0.361,-0.386
wesley matthews,-0.755,0.52,-1.275
dennis schroder,-0.764,-0.203,-0.561
d.j. wilson,-0.77,0.37,-1.14
timothe luwawu-cabarrot,-0.8,-0.667,-0.133
nickeil alexander-walker,-0.824,0.074,-0.898
d'angelo russell,-0.839,-2.197,1.358
dennis smith jr.,-0.848,-0.062,-0.785
d.j. augustin,-0.86,-1.37,0.511
malik beasley,-0.866,-1.27,0.403
kevin porter jr.,-0.867,-1.375,0.508
kelly oubre jr.,-0.869,-0.175,-0.694
brandon goodwin,-0.872,-0.7,-0.172
rui hachimura,-0.876,0.586,-1.461
javonte green,-0.881,0.509,-1.389
jamychal green,-0.915,-0.221,-0.694
lamar stevens,-0.954,0.655,-1.609
khem birch,-0.956,0.832,-1.788
cam reddish,-0.959,0.145,-1.104
wenyen gabriel,-0.96,0.475,-1.436
juancho hernangomez,-0.966,-1.263,0.297
patrick patterson,-0.97,-0.688,-0.282
maxi kleber,-0.977,0.602,-1.58
trey burke,-0.98,-1.234,0.254
josh hart,-0.983,-0.258,-0.726
kj martin,-0.994,-0.545,-0.449
dylan windler,-0.997,0.566,-1.564
daquan jeffries,-0.998,0.142,-1.14
kyle kuzma,-1.001,0.124,-1.125
devin vassell,-1.008,0.532,-1.54
john konchar,-1.018,-0.303,-0.715
ryan arcidiacono,-1.02,0.422,-1.442
mike james,-1.05,-1.174,0.123
malik monk,-1.067,-1.327,0.259
lauri markkanen,-1.067,-0.586,-0.481
cory joseph,-1.083,-0.213,-0.87
george hill,-1.084,-0.824,-0.26
terence davis,-1.086,-0.517,-0.569
grant williams,-1.087,1.032,-2.119
precious achiuwa,-1.091,0.665,-1.757
ben mclemore,-1.1,-1.316,0.216
miles bridges,-1.108,-0.381,-0.727
desmond bane,-1.113,-0.261,-0.852
brodric thomas,-1.141,-0.079,-1.062
mason jones,-1.142,-0.727,-0.415
damion lee,-1.156,-0.056,-1.1
robin lopez,-1.164,0.038,-1.201
dean wade,-1.168,0.447,-1.615
james johnson,-1.174,0.287,-1.461
collin sexton,-1.178,-1.955,0.776
james ennis iii,-1.179,0.469,-1.649
shake milton,-1.183,-1.211,0.028
payton pritchard,-1.186,-1.069,-0.116
michael carter-williams,-1.192,1.131,-2.323
lou williams,-1.195,-1.381,0.186
damian jones,-1.195,0.694,-1.889
jordan poole,-1.224,-1.86,0.636
darius garland,-1.231,-0.973,-0.258
jaylen hoard,-1.236,-0.065,-1.171
wayne ellington,-1.244,-1.361,0.117
tyus jones,-1.267,-0.842,-0.425
deandre' bembry,-1.267,0.64,-1.907
carmelo anthony,-1.291,-1.932,0.641
brad wanamaker,-1.295,0.092,-1.387
jj redick,-1.31,-1.445,0.135
luguentz dort,-1.33,-0.379,-0.952
anthony edwards,-1.351,-1.506,0.154
nerlens noel,-1.356,2.392,-3.748
mychal mulder,-1.365,-1.013,-0.352
jalen mcdaniels,-1.369,-0.428,-0.941
stanley johnson,-1.374,0.898,-2.273
abdel nader,-1.391,0.27,-1.661
svi mykhailiuk,-1.402,-0.672,-0.731
aaron holiday,-1.419,-0.65,-0.769
obi toppin,-1.424,-0.605,-0.819
doug mcdermott,-1.437,-2.38,0.943
bryn forbes,-1.451,-1.376,-0.075
chimezie metu,-1.459,0.263,-1.722
caris levert,-1.461,-1.48,0.019
jarrett culver,-1.476,0.091,-1.567
justin holiday,-1.48,-0.648,-0.832
kentavious caldwell-pope,-1.49,0.08,-1.57
justin jackson,-1.513,-0.46,-1.053
trey lyles,-1.516,-0.204,-1.311
patty mills,-1.532,-2.004,0.472
taurean prince,-1.588,-0.703,-0.885
ignas brazdeikis,-1.596,-0.435,-1.161
eric paschall,-1.603,-0.713,-0.89
goran dragic,-1.603,-1.261,-0.342
tyrese maxey,-1.603,-1.293,-0.31
malachi flynn,-1.606,-0.273,-1.332
chandler hutchison,-1.607,0.304,-1.911
max strus,-1.611,-1.212,-0.398
tyrese haliburton,-1.626,-1.882,0.256
derrick jones jr.,-1.639,-0.343,-1.296
josh green,-1.642,-0.201,-1.441
coby white,-1.644,-0.852,-0.792
tyler herro,-1.65,-1.255,-0.395
luke kennard,-1.662,-1.498,-0.164
caleb martin,-1.687,-0.591,-1.096
armoni brooks,-1.73,-1.733,0.004
kenrich williams,-1.73,0.27,-2.0
gary harris,-1.733,-0.52,-1.213
al-farouq aminu,-1.749,0.927,-2.676
rajon rondo,-1.758,-0.887,-0.872
austin rivers,-1.758,-1.193,-0.565
ty jerome,-1.76,-0.756,-1.004
trent forrest,-1.768,-0.814,-0.955
reggie bullock jr.,-1.769,-0.367,-1.402
saben lee,-1.774,-0.217,-1.557
jakarr sampson,-1.778,-0.528,-1.25
nico mannion,-1.809,-0.696,-1.113
josh jackson,-1.825,-0.088,-1.737
mike scott,-1.836,0.328,-2.164
garrison mathews,-1.843,-0.229,-1.615
rj barrett,-1.853,-0.737,-1.116
paul watson,-1.861,-1.038,-0.823
e'twaun moore,-1.862,-0.51,-1.352
gabe vincent,-1.868,-0.835,-1.033
chuma okeke,-1.894,-0.12,-1.774
saddiq bey,-1.919,-1.1,-0.819
cedi osman,-1.93,-1.273,-0.657
anthony lamb,-1.932,-0.641,-1.291
jake layman,-1.946,-0.033,-1.913
freddie gillespie,-1.959,0.588,-2.547
jaden mcdaniels,-1.961,0.371,-2.333
aaron nesmith,-1.98,-0.204,-1.776
aron baynes,-2.041,0.54,-2.58
jeff teague,-2.064,-0.763,-1.302
cole anthony,-2.079,-0.565,-1.515
langston galloway,-2.088,-1.202,-0.886
maurice harkless,-2.113,0.22,-2.333
tyler johnson,-2.143,-1.738,-0.406
kz okpala,-2.149,0.231,-2.379
landry shamet,-2.212,-1.407,-0.804
sterling brown,-2.236,-0.406,-1.83
terrence ross,-2.321,-1.103,-1.218
jerome robinson,-2.375,0.08,-2.455
garrett temple,-2.39,-0.009,-2.382
wes iwundu,-2.392,-0.004,-2.388
markieff morris,-2.403,-0.354,-2.048
solomon hill,-2.453,-0.224,-2.229
hamidou diallo,-2.459,-0.74,-1.719
darius bazley,-2.478,-0.189,-2.289
kevin knox ii,-2.48,-1.109,-1.371
avery bradley,-2.48,-1.025,-1.455
elfrid payton,-2.485,-1.634,-0.851
patrick williams,-2.522,0.115,-2.637
gary clark,-2.535,-0.195,-2.34
isaac okoro,-2.543,-0.226,-2.318
r.j. hampton,-2.548,-1.326,-1.222
frank jackson,-2.554,-1.987,-0.567
semi ojeleye,-2.554,-0.763,-1.791
edmond sumner,-2.588,-0.87,-1.718
justise winslow,-2.602,0.166,-2.768
gary trent jr.,-2.603,-2.544,-0.059
anfernee simons,-2.624,-2.609,-0.015
danuel house jr.,-2.627,-0.552,-2.076
nassir little,-2.631,-1.261,-1.37
bismack biyombo,-2.659,0.265,-2.924
josh hall,-2.698,-0.174,-2.524
isaiah roby,-2.742,-0.222,-2.52
tyler cook,-2.784,-1.106,-1.678
glenn robinson iii,-2.81,-1.325,-1.485
romeo langford,-2.904,-0.488,-2.416
p.j. tucker,-2.92,0.497,-3.417
damyean dotson,-2.99,-1.612,-1.378
james wiseman,-3.01,0.031,-3.041
lonnie walker iv,-3.038,-1.622,-1.416
isaac bonga,-3.054,0.867,-3.921
killian hayes,-3.152,-0.097,-3.054
jahlil okafor,-3.329,-0.953,-2.376
tony snell,-3.334,-1.116,-2.218
rodney hood,-3.649,-1.071,-2.577
theo maledon,-3.681,-0.596,-3.086
chasson randle,-3.775,-1.225,-2.55
sekou doumbouya,-3.839,-1.257,-2.582
aleksej pokusevski,-3.874,-0.215,-3.659
dwayne bacon,-3.926,-1.715,-2.211
