Player,LEBRON,O-LEBRON,D-LEBRON
Dzanan Musa,-1.267,-0.457,-0.81
Demarre Carroll,-1.267,-1.449,0.182
Jj Redick,-1.267,1.09,-2.357
Kyle Korver,-1.268,-0.413,-0.856
Luke Kennard,-1.268,0.142,-1.409
Wes Iwundu,-1.281,-1.53,0.249
Brandon Goodwin,-1.308,-0.508,-0.8
Danté Exum,-1.316,-1.242,-0.074
Denzel Valentine,-1.32,-0.633,-0.687
Bruce Brown,-1.321,-1.573,0.252
Ben Mclemore,-1.329,0.246,-1.575
Grant Williams,-1.352,-1.971,0.619
Elie Okobo,-1.358,-0.617,-0.742
Chandler Hutchison,-1.376,-1.797,0.421
Ed Davis,-1.381,-2.782,1.401
Austin Rivers,-1.381,-0.106,-1.275
Courtney Lee,-1.392,-1.771,0.38
Tim Frazier,-1.395,-1.372,-0.023
Eric Gordon,-1.421,0.69,-2.111
Luguentz Dort,-1.426,-1.279,-0.147
Nassir Little,-1.426,-0.961,-0.465
Allonzo Trier,-1.459,-0.214,-1.246
Brad Wanamaker,-1.483,-0.682,-0.801
Patrick Patterson,-1.487,-1.093,-0.394
E'Twaun Moore,-1.509,-0.256,-1.254
Omari Spellman,-1.51,-1.356,-0.153
Skal Labissiere,-1.521,-1.746,0.225
Marco Belinelli,-1.545,-0.462,-1.083
Frank Ntilikina,-1.546,-2.171,0.625
Torrey Craig,-1.547,-1.059,-0.488
Jeff Teague,-1.551,0.368,-1.919
Wilson Chandler,-1.575,-2.562,0.987
Jeff Green,-1.596,-1.29,-0.306
Alec Burks,-1.608,-0.871,-0.737
Malik Beasley,-1.63,-0.312,-1.317
Troy Brown Jr.,-1.642,-1.447,-0.194
D.J. Augustin,-1.651,-0.38,-1.27
Avery Bradley,-1.658,-1.23,-0.428
Garrett Temple,-1.665,-1.207,-0.458
Rj Barrett,-1.667,-0.599,-1.068
Justin Jackson,-1.687,-0.725,-0.962
Grayson Allen,-1.714,-0.695,-1.019
Kelan Martin,-1.719,-1.346,-0.372
Robin Lopez,-1.719,-2.573,0.853
Rui Hachimura,-1.737,-1.39,-0.347
Bruno Fernando,-1.771,-1.624,-0.146
Josh Okogie,-1.841,-1.833,-0.008
Marko Guduric,-1.871,-1.279,-0.592
Reggie Bullock Jr.,-1.877,-1.391,-0.485
Keita Bates-Diop,-1.883,-1.316,-0.567
Jake Layman,-1.904,-1.807,-0.097
Rodions Kurucs,-1.924,-2.141,0.217
Jerome Robinson,-1.931,-1.518,-0.413
Terry Rozier,-1.936,-0.189,-1.747
Ryan Arcidiacono,-1.944,-1.474,-0.47
Khem Birch,-1.945,-2.353,0.408
Glenn Robinson Iii,-1.953,-1.101,-0.851
Eric Paschall,-1.969,-0.801,-1.168
Rodney Hood,-1.972,-1.9,-0.073
Admiral Schofield,-1.982,-1.654,-0.328
Jerami Grant,-1.998,-0.762,-1.236
Nicolo Melli,-2.012,-1.739,-0.273
Anthony Tolliver,-2.023,-1.806,-0.216
Malik Monk,-2.026,-0.317,-1.709
Rodney Mcgruder,-2.035,-1.701,-0.334
Iman Shumpert,-2.052,-1.921,-0.131
Evan Turner,-2.057,-2.053,-0.005
Deandre' Bembry,-2.075,-2.694,0.619
Kevin Huerter,-2.094,-0.682,-1.412
Tyler Johnson,-2.144,-1.181,-0.962
Bryn Forbes,-2.154,-0.833,-1.321
Furkan Korkmaz,-2.157,-0.578,-1.579
Treveon Graham,-2.159,-1.358,-0.801
Solomon Hill,-2.167,-1.329,-0.838
Nickeil Alexander-Walker,-2.209,-0.514,-1.696
Darius Bazley,-2.236,-2.679,0.443
Troy Daniels,-2.238,-0.297,-1.941
Caleb Swanigan,-2.278,-2.544,0.266
Tony Snell,-2.284,-1.32,-0.964
Matt Thomas,-2.286,-0.424,-1.862
Collin Sexton,-2.288,0.28,-2.568
Edmond Sumner,-2.317,-1.368,-0.949
Raul Neto,-2.333,-1.23,-1.103
Gary Clark,-2.362,-1.347,-1.015
Jacob Evans,-2.368,-2.716,0.348
Lonnie Walker Iv,-2.388,-1.573,-0.816
Emmanuel Mudiay,-2.416,-1.9,-0.516
Abdel Nader,-2.418,-2.06,-0.358
Alfonzo Mckinnie,-2.45,-2.194,-0.256
Damyean Dotson,-2.46,-0.705,-1.755
Cedi Osman,-2.474,-1.574,-0.9
Langston Galloway,-2.49,-0.623,-1.867
Markieff Morris,-2.551,-1.612,-0.94
Bobby Portis,-2.555,-1.448,-1.107
De'Andre Hunter,-2.56,-1.58,-0.98
Jordan Poole,-2.58,-2.383,-0.197
Allen Crabbe,-2.591,-1.695,-0.896
Romeo Langford,-2.595,-2.093,-0.502
Kevin Knox Ii,-2.62,-1.991,-0.629
Dwayne Bacon,-2.637,-2.214,-0.422
Maurice Harkless,-2.646,-2.215,-0.43
Mario Hezonja,-2.674,-2.503,-0.171
Quinn Cook,-2.681,-0.728,-1.952
Miles Bridges,-2.683,-1.52,-1.163
Ky Bowman,-2.693,-3.057,0.364
Cam Reddish,-2.701,-1.451,-1.25
Vince Carter,-2.758,-1.834,-0.923
