Player,LEBRON,D-LEBRON,O-LEBRON
nicolas batum,-0.756,0.118,-0.874
derrick rose,-0.768,-2.09,1.322
juancho hernangomez,-0.776,0.023,-0.799
jaron blossomgame,-0.779,0.285,-1.064
jaren jackson jr.,-0.786,1.029,-1.815
trey lyles,-0.794,-0.326,-0.469
treveon graham,-0.796,0.339,-1.135
dante exum,-0.797,-0.457,-0.34
norman powell,-0.807,-0.441,-0.367
deandre jordan,-0.813,1.299,-2.111
malik beasley,-0.821,-1.101,0.28
bryn forbes,-0.834,0.284,-1.118
bogdan bogdanovic,-0.863,-0.873,0.01
torrey craig,-0.865,0.087,-0.952
dennis schroder,-0.869,-1.321,0.451
dirk nowitzki,-0.895,-0.425,-0.471
gary harris,-0.9,-0.75,-0.15
de'anthony melton,-0.907,0.967,-1.874
raul neto,-0.909,-0.848,-0.062
jake layman,-0.926,0.195,-1.12
jordan mcrae,-0.933,-0.475,-0.458
mario hezonja,-0.959,0.123,-1.082
alec burks,-0.965,-0.655,-0.31
rodions kurucs,-0.976,0.078,-1.054
marquese chriss,-0.995,0.107,-1.101
jalen brunson,-1.0,-0.702,-0.299
bobby portis,-1.009,-0.518,-0.491
thon maker,-1.017,0.425,-1.442
ivan rabb,-1.023,0.39,-1.413
jonah bolden,-1.026,0.3,-1.326
frank mason iii,-1.029,-0.679,-0.35
mike muscala,-1.03,0.226,-1.256
reggie bullock jr.,-1.04,-0.477,-0.563
marcin gortat,-1.04,0.878,-1.918
amir johnson,-1.041,0.338,-1.378
kevin huerter,-1.043,-0.344,-0.699
greg monroe,-1.048,-0.323,-0.725
cheick diallo,-1.063,0.597,-1.66
zaza pachulia,-1.072,0.781,-1.853
tyson chandler,-1.077,1.278,-2.356
dion waiters,-1.077,-0.65,-0.427
t.j. warren,-1.081,-0.448,-0.633
bismack biyombo,-1.084,0.773,-1.857
kyle anderson,-1.087,0.932,-2.019
tony snell,-1.127,-0.529,-0.598
wilson chandler,-1.14,0.414,-1.554
tyler johnson,-1.146,-0.497,-0.65
mikal bridges,-1.172,-0.007,-1.165
kentavious caldwell-pope,-1.186,-1.123,-0.063
dorian finney-smith,-1.197,-0.416,-0.781
zach collins,-1.201,0.478,-1.679
royce o'neale,-1.209,0.94,-2.149
langston galloway,-1.223,-0.932,-0.291
ante zizic,-1.236,0.161,-1.397
og anunoby,-1.241,0.157,-1.398
daniel hamilton,-1.261,-0.255,-1.007
josh hart,-1.273,0.342,-1.614
yogi ferrell,-1.278,-0.782,-0.497
seth curry,-1.329,-0.55,-0.779
shai gilgeous-alexander,-1.343,0.721,-2.064
julian washburn,-1.348,0.094,-1.441
matthew dellavedova,-1.352,-0.909,-0.443
james ennis iii,-1.357,-0.385,-0.972
tyler dorsey,-1.362,-1.001,-0.36
shake milton,-1.382,-0.712,-0.67
will barton,-1.383,-0.451,-0.932
donte divincenzo,-1.395,-0.258,-1.137
dante cunningham,-1.403,0.685,-2.087
landry shamet,-1.408,-0.948,-0.461
alex poythress,-1.411,0.02,-1.431
nene,-1.411,0.42,-1.831
marco belinelli,-1.415,-1.182,-0.234
ish smith,-1.423,-0.799,-0.624
moritz wagner,-1.435,0.234,-1.668
james johnson,-1.483,0.24,-1.723
jeff green,-1.486,-1.268,-0.218
kris dunn,-1.488,0.26,-1.748
jeremy lin,-1.5,-0.757,-0.743
anthony tolliver,-1.519,-0.435,-1.083
tim frazier,-1.53,-0.715,-0.815
devin booker,-1.53,-3.464,1.934
brandon ingram,-1.546,-1.127,-0.42
garrett temple,-1.563,0.491,-2.053
gary clark,-1.564,-0.315,-1.249
wesley matthews,-1.57,-1.004,-0.566
vince carter,-1.57,-0.104,-1.466
rodney mcgruder,-1.574,-0.436,-1.138
terrance ferguson,-1.582,-0.106,-1.476
danuel house jr.,-1.585,-1.251,-0.334
alfonzo mckinnie,-1.585,-0.647,-0.939
trae young,-1.587,-2.384,0.798
cam reynolds,-1.596,-0.779,-0.817
marvin bagley iii,-1.602,-1.67,0.068
troy williams,-1.618,0.145,-1.763
sterling brown,-1.632,-0.569,-1.063
justin holiday,-1.633,0.444,-2.077
jerian grant,-1.673,0.025,-1.697
ryan broekhoff,-1.673,-1.034,-0.639
keita bates-diop,-1.707,-0.286,-1.42
shaquille harrison,-1.722,0.509,-2.231
andrew wiggins,-1.725,-1.564,-0.162
omari spellman,-1.728,-0.447,-1.281
brandon knight,-1.728,-0.419,-1.309
glenn robinson iii,-1.749,0.51,-2.259
troy daniels,-1.751,-1.279,-0.473
trevor ariza,-1.755,-0.718,-1.037
dwayne bacon,-1.762,-0.818,-0.944
malik monk,-1.777,-1.103,-0.674
kent bazemore,-1.779,-0.132,-1.647
dragan bender,-1.801,0.004,-1.805
chasson randle,-1.828,-1.242,-0.586
iman shumpert,-1.828,-0.382,-1.446
markelle fultz,-1.868,0.004,-1.873
deandre' bembry,-1.874,0.263,-2.137
carmelo anthony,-1.883,-0.979,-0.905
jevon carter,-1.886,-0.157,-1.729
tony parker,-1.886,-1.338,-0.548
luke kennard,-1.907,-1.027,-0.88
cameron payne,-1.913,-0.28,-1.633
aaron holiday,-1.921,-0.969,-0.952
dennis smith jr.,-1.934,-0.498,-1.436
rajon rondo,-1.943,-0.76,-1.184
raymond felton,-1.945,-1.115,-0.829
harrison barnes,-1.957,-1.307,-0.649
dwyane wade,-1.962,-1.766,-0.197
jabari parker,-1.987,-0.654,-1.333
chandler parsons,-1.995,-0.454,-1.541
doug mcdermott,-1.998,-0.902,-1.096
marshon brooks,-2.011,-1.255,-0.756
brandon sampson,-2.012,-0.268,-1.744
shaun livingston,-2.029,-0.64,-1.389
gerald green,-2.034,-2.3,0.265
jerryd bayless,-2.054,-1.606,-0.448
harry giles iii,-2.077,-0.371,-1.706
semi ojeleye,-2.082,-0.802,-1.28
justin jackson,-2.091,-1.036,-1.056
jaylen adams,-2.093,-0.337,-1.756
wesley johnson,-2.11,-0.019,-2.091
