player_name,raptor_total,raptor_defense,raptor_offense
Gerald Green,-1.4,-1.3,-0.1
Domantas Sabonis,-1.4,-0.7,-0.8
Alex Len,-1.4,-0.3,-1.1
Stanley Johnson,-1.4,1.3,-2.7
Alex Abrines,-1.5,-1.5,-0.0
Harrison Barnes,-1.5,-0.2,-1.4
Kyle Kuzma,-1.5,-0.8,-0.7
Frank Ntilikina,-1.5,2.5,-4.0
Tristan Thompson,-1.6,-0.8,-0.8
Jawun Evans,-1.6,1.5,-3.0
Raymond Felton,-1.6,-0.4,-1.1
Denzel Valentine,-1.6,-1.0,-0.7
Frank Kaminsky,-1.6,-2.3,0.7
Trevor Booker,-1.7,-1.2,-0.6
Mason Plumlee,-1.7,0.3,-2.0
Josh Huestis,-1.8,1.3,-3.1
Milos Teodosic,-1.8,-1.8,0.0
Frank Mason,-1.8,-1.5,-0.3
Kelly Oubre Jr.,-1.8,-0.9,-0.9
DeAndre Jordan,-1.8,-1.0,-0.9
Noah Vonleh,-1.9,-0.1,-1.8
Willie Cauley-Stein,-1.9,0.9,-2.8
Evan Turner,-1.9,0.5,-2.4
David Nwaba,-1.9,-0.9,-0.9
Richaun Holmes,-2.0,-0.1,-1.8
Myles Turner,-2.0,-0.1,-1.9
Brandon Ingram,-2.0,-0.8,-1.2
Treveon Graham,-2.1,-1.3,-0.8
Michael Beasley,-2.1,-2.0,-0.1
Jabari Parker,-2.1,-1.2,-0.9
Avery Bradley,-2.2,0.3,-2.5
Elfrid Payton,-2.2,-2.7,0.5
Markieff Morris,-2.2,-0.7,-1.5
Wesley Matthews,-2.2,-1.6,-0.6
Shaun Livingston,-2.2,-1.1,-1.2
Jae Crowder,-2.2,-0.3,-1.8
Bryn Forbes,-2.2,-1.3,-1.0
Dwight Howard,-2.3,-0.1,-2.2
Mike Scott,-2.3,-1.9,-0.4
Jodie Meeks,-2.3,-2.1,-0.2
Marcus Morris,-2.3,-1.4,-0.9
Jonathon Simmons,-2.4,-1.9,-0.5
Jarrett Jack,-2.4,-1.6,-0.8
Nick Young,-2.5,-1.3,-1.1
Wes Iwundu,-2.5,0.6,-3.2
Tyler Ulis,-2.6,-1.0,-1.6
Taurean Prince,-2.6,-1.8,-0.8
Tyler Dorsey,-2.8,-2.0,-0.7
Doug McDermott,-2.8,-1.3,-1.4
Skal Labissiere,-2.8,-0.8,-2.0
Tyler Zeller,-2.8,-1.0,-1.8
Sterling Brown,-2.8,-0.2,-2.6
Quincy Acy,-2.9,-0.7,-2.2
Isaiah Thomas,-2.9,-3.1,0.1
Patrick Patterson,-3.0,-0.2,-2.8
JaMychal Green,-3.0,-1.6,-1.3
Dante Cunningham,-3.0,-0.6,-2.4
Lance Thomas,-3.0,0.0,-3.0
Dion Waiters,-3.1,-0.9,-2.2
Timothe Luwawu-Cabarrot,-3.1,-0.4,-2.7
Tony Snell,-3.1,-1.9,-1.2
JR Smith,-3.1,-2.7,-0.5
Marquese Chriss,-3.3,0.2,-3.6
Tyrone Wallace,-3.3,-1.4,-1.9
Lance Stephenson,-3.3,-3.1,-0.2
Rodney Hood,-3.4,-2.9,-0.5
Ian Clark,-3.5,-2.4,-1.2
Justin Jackson,-3.7,-1.4,-2.3
Zach Randolph,-3.8,-3.8,0.0
Jarrett Allen,-4.0,-1.1,-2.9
Quinn Cook,-4.0,-3.8,-0.2
Jerryd Bayless,-4.0,-1.6,-2.4
D'Angelo Russell,-4.1,-3.5,-0.6
Miles Plumlee,-4.1,1.6,-5.7
Robin Lopez,-4.2,0.0,-4.3
Jamal Crawford,-4.2,-4.9,0.7
Deyonta Davis,-4.2,-3.1,-1.1
Jarell Martin,-4.3,-0.5,-3.8
