nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
1628432,Davon Reed,2018,PHO,SG,11.531,-1.015,-1.194,0.179,0.21,Off Screen Shooter,Low Activity
1628436,Luke Kornet,2018,NYK,C,16.325,0.019,-0.173,0.192,0.507,Stretch Big,Anchor Big
1628439,Isaiah Hicks,2018,NYK,PF,13.302,-2.409,-2.095,-0.315,-0.012,Post Scorer,Helper
1628455,Mike James,2018,PHO/NOP,PG,19.069,0.491,0.733,-0.242,1.283,Primary Ball Handler,Point of Attack
1628462,Milos Teodosic,2018,LAC,PG,25.204,-1.2,0.223,-1.423,0.844,Primary Ball Handler,Chaser
1628463,Tyler Cavanaugh,2018,ATL,PF,13.294,-0.439,-0.145,-0.294,0.647,Stretch Big,Helper
1628464,Daniel Theis,2018,BOS,C,14.85,0.286,-1.028,1.314,1.62,Roll + Cut Big,Anchor Big
1628467,Maxi Kleber,2018,DAL,PF,16.751,-0.288,-1.267,0.979,1.628,Stretch Big,Helper
1628469,Antonio Blakeney,2018,CHI,SG,16.522,-0.281,0.357,-0.638,0.425,Shot Creator,Low Activity
1628470,Torrey Craig,2018,DEN,SF,16.123,-1.377,-1.045,-0.332,0.394,Movement Shooter,Wing Stopper
1628503,Jamel Artis,2018,ORL,SG,18.6,-1.211,-0.698,-0.513,0.205,Stationary Shooter,Low Activity
1628510,Andrew White Iii,2018,ATL,SF,13.94,-1.98,-1.564,-0.416,0.048,Movement Shooter,Low Activity
1628681,Rodney Purvis,2018,ORL,SG,18.098,-1.869,-0.582,-1.287,0.088,Off Screen Shooter,Low Activity
