name,height_inches,wingspan_inches,relative
bryce mcgowens,77.25,80.75,3.5
paolo banchero,81.0,84.5,3.5
cam christie,76.5,80.0,3.5
kevin love,79.75,83.25,3.5
ja morant,74.5,78.0,3.5
demar derozan,77.5,81.0,3.5
kentavious caldwell-pope,76.5,80.0,3.5
anthony gill,79.5,83.0,3.5
kristaps porzingis,86.5,90.0,3.5
isaac okoro,77.0,80.5,3.5
jaime jaquez jr.,78.0,81.5,3.5
goga bitadze,82.5,86.0,3.5
nikola jokic,83.5,87.0,3.5
jayson tatum,79.5,83.0,3.5
cam thomas,75.0,78.5,3.5
stephon castle,77.5,81.0,3.5
luka garza,82.0,85.5,3.5
vj edgecombe,76.0,79.5,3.5
caleb houstan,79.5,83.0,3.5
jalen green,76.0,79.5,3.5
gg jackson,80.25,83.5,3.25
yves missi,82.75,86.0,3.25
derik queen,81.25,84.5,3.25
mark sears,70.75,74.0,3.25
kyshawn george,79.0,82.25,3.25
jordan poole,75.5,78.75,3.25
klay thompson,77.75,81.0,3.25
john konchar,76.75,80.0,3.25
georges niang,78.75,82.0,3.25
jeremy sochan,80.5,83.75,3.25
julian strawther,78.0,81.25,3.25
tyrese proctor,76.25,79.25,3.0
tre jones,73.0,76.0,3.0
jamal murray,75.5,78.5,3.0
payton pritchard,73.0,76.0,3.0
julian champagnie,79.0,82.0,3.0
johni broome,81.25,84.25,3.0
ajay mitchell,75.25,78.25,3.0
tyrese haliburton,76.75,79.75,3.0
isaiah livers,78.0,81.25,3.0
jock landale,83.0,86.0,3.0
nick smith jr.,77.0,80.0,3.0
cameron johnson,79.0,82.0,3.0
dayron sharpe,81.0,84.0,3.0
john collins,80.25,83.25,3.0
jay huff,85.0,88.0,3.0
brandon miller,81.0,83.5,3.0
dwight powell,81.5,84.5,3.0
chris paul,73.0,76.0,3.0
jalen brunson,73.0,76.0,3.0
craig porter jr.,73.0,76.0,3.0
seth curry,73.0,76.0,3.0
terrence shannon jr.,77.75,80.75,3.0
kasparas jakucionis,76.75,79.75,3.0
terance mann,76.75,79.75,3.0
keegan murray,80.0,83.0,3.0
doug mcdermott,78.25,81.25,3.0
kam jones,75.25,78.0,2.75
nique clifford,77.25,80.0,2.75
jake laravia,78.75,81.5,2.75
malik monk,74.25,77.0,2.75
jamal shead,72.25,75.0,2.75
cam whitmore,77.75,80.5,2.75
nikola jovic,81.5,84.25,2.75
isaiah hartenstein,83.5,86.25,2.75
andrew nembhard,75.0,77.75,2.75
jeremiah fears,74.5,77.25,2.75
landry shamet,76.0,78.75,2.75
zach collins,82.25,85.0,2.75
ben sheppard,77.25,79.75,2.5
ousmane dieng,81.5,84.0,2.5
sam hauser,78.75,81.25,2.5
tim hardaway jr.,76.5,79.0,2.5
jusuf nurkic,83.5,86.0,2.5
trae young,72.5,75.0,2.5
alperen sengun,82.0,84.5,2.5
jordan hawkins,76.25,78.75,2.5
jaylon tyson,77.5,80.0,2.5
jonathan isaac,82.5,85.0,2.5
joe ingles,79.75,82.25,2.5
cole anthony,74.0,76.5,2.5
jalen wilson,77.5,80.0,2.5
jakob poeltl,84.25,86.75,2.5
jabari smith jr.,82.5,85.0,2.5
max strus,77.0,79.5,2.5
gradey dick,78.25,80.75,2.5
franz wagner,81.0,83.5,2.5
donte divincenzo,75.5,78.0,2.5
isaiah collier,74.5,76.75,2.25
bobi klintman,80.75,83.0,2.25
michael porter jr.,81.75,84.0,2.25
kyle lowry,71.75,74.0,2.25
kyrie irving,73.75,76.0,2.25
zaccharie risacher,80.25,82.5,2.25
asa newell,81.0,83.25,2.25
jalen suggs,75.5,77.5,2.0
walter clayton jr.,74.0,76.0,2.0
drew eubanks,81.0,83.0,2.0
rob dillingham,73.0,75.0,2.0
baylor scheierman,78.25,80.25,2.0
jose alvarado,71.0,73.0,2.0
cam spencer,75.0,77.0,2.0
ziaire williams,80.25,82.25,2.0
alex caruso,76.0,78.0,2.0
lamelo ball,78.0,80.0,2.0
jaden mcdaniels,81.0,83.0,2.0
noa essengue,81.0,83.0,2.0
fred vanvleet,72.0,74.0,2.0
egor demin,80.25,82.25,2.0
nikola topic,78.0,80.0,2.0
sion james,76.5,78.5,2.0
keyonte george,76.0,78.0,2.0
moritz wagner,82.0,84.0,2.0
tristan da silva,80.25,82.25,2.0
austin reaves,76.5,78.25,1.75
liam mcneeley,78.75,80.5,1.75
anthony black,77.75,79.5,1.75
yang hansen,85.0,86.75,1.75
brandin podziemski,75.75,77.5,1.75
rocco zikarsky,87.0,88.75,1.75
jared mccain,74.0,75.5,1.5
jimmy butler iii,78.0,79.5,1.5
tyler kolek,73.25,74.75,1.5
pacome dadiet,79.5,81.0,1.5
t.j. mcconnell,72.5,74.0,1.5
oso ighodaro,81.5,83.0,1.5
reed sheppard,73.75,75.25,1.5
stephen curry,74.0,75.5,1.5
sam merrill,75.5,77.0,1.5
marvin bagley iii,82.5,84.0,1.5
coby white,75.5,77.0,1.5
maxi kleber,81.25,82.75,1.5
max shulga,76.25,77.75,1.5
kevin huerter,78.25,79.5,1.25
matas buzelis,80.75,82.0,1.25
kon knueppel,77.0,78.25,1.25
kobe sanders,79.0,80.25,1.25
kenrich williams,78.0,79.25,1.25
christian braun,77.5,78.5,1.0
micah peavy,78.25,79.25,1.0
dillon brooks,77.0,78.0,1.0
maxime raynaud,84.25,85.25,1.0
dean wade,81.0,82.0,1.0
domantas sabonis,82.0,83.0,1.0
brandon clarke,79.25,80.25,1.0
corey kispert,78.0,79.0,1.0
jett howard,80.0,81.0,1.0
tre mann,75.25,76.0,0.75
jaylen wells,78.5,79.25,0.75
luke kennard,76.5,77.25,0.75
dario saric,81.5,82.0,0.5
johnny furphy,79.5,80.0,0.5
will riley,80.25,80.75,0.5
amir coffey,78.75,79.25,0.5
santi aldama,82.75,83.0,0.25
lauri markkanen,83.0,83.0,0.0
luke kornet,85.0,85.0,0.0
mason plumlee,83.25,83.0,-0.25
deni avdija,80.75,80.5,-0.25
kyle filipowski,82.75,82.5,-0.25
ty jerome,76.25,76.0,-0.25
koby brea,77.75,77.25,-0.5
josh giddey,80.0,79.5,-0.5
desmond bane,77.0,76.25,-0.75
kelly olynyk,82.75,81.75,-1.0
kyle kuzma,80.0,79.0,-1.0
tyler herro,76.5,75.25,-1.25
svi mykhailiuk,78.5,77.0,-1.5
