,name,height_inches,wingspan_inches,relative
200,Sean Dockery,72.75,76.5,3.75
201,Jordan Farmar,72.75,75.0,2.25
202,Randy Foye,74.25,78.25,4.0
203,Torin Francis,81.0,85.0,4.0
204,Rudy Gay,79.0,87.0,8.0
205,Nick George,76.0,82.0,6.0
206,Taj Gray,79.25,84.75,5.5
207,Dan Grunfeld,76.75,78.25,1.5
208,Matt Haryasz,81.75,84.25,2.5
209,Eric Hicks,76.75,85.5,8.75
210,Tedric Hill,79.75,85.0,5.25
211,Daniel Horton,72.5,79.0,6.5
212,Solomon Jones,80.5,88.75,8.25
213,Bobby Jones,77.75,81.5,3.75
214,Viktor Keyru,77.25,81.25,4.0
215,Marco Killingsworth,77.5,87.0,9.5
216,Tarence Kinsey,76.75,78.75,2.0
217,Carl Krauser,71.75,78.25,6.5
218,Chris McCray,75.0,77.75,2.75
219,Gerry McNamara,71.75,72.75,1.0
220,Pops Mensah-Bonsu,79.5,84.0,4.5
221,Paul Miller,80.5,84.0,3.5
222,Paul Millsap,78.25,85.5,7.25
223,Dwayne Mitchell,74.0,78.5,4.5
224,Adam Morrison,78.5,82.0,3.5
225,Yemi Nicholson,79.75,88.25,8.5
226,David Noel,76.5,81.5,5.0
227,Steve Novak,80.0,81.5,1.5
228,Patrick O'Bryant,83.0,89.75,6.75
229,Danilo Pinnock,74.75,79.5,4.75
230,Chris Quinn,72.5,77.0,4.5
231,Allan Ray,73.0,80.5,7.5
232,JJ Redick,76.0,75.25,-0.75
233,Antywane Robinson,78.25,86.5,8.25
234,Brandon Roy,77.25,80.0,2.75
235,Blake Schilb,77.25,80.75,3.5
236,Mouhamed Sene,83.0,92.5,9.5
237,Cedric Simmons,80.25,88.25,8.0
238,Marcus Slaughter,79.0,83.5,4.5
239,Craig Smith,77.5,81.5,4.0
240,Steven Smith,79.5,84.5,5.0
241,Michael Southhall,81.5,88.25,6.75
242,Frans Steyn,85.25,86.25,1.0
243,Curtis Stinson,73.75,77.0,3.25
244,Tyrus Thomas,79.25,87.0,7.75
245,Joah Tucker,75.75,78.5,2.75
246,Ian Vouyoukas,80.5,84.75,4.25
247,Darius Washington,71.5,76.0,4.5
248,CJ Watson,72.5,78.0,5.5
249,Eric Williams,79.25,88.25,9.0
250,Shelden Williams,79.5,88.25,8.75
251,Shawne Williams,79.25,87.0,7.75
252,Marcus Williams,74.0,79.0,5.0
253,Justin Williams,79.25,85.5,6.25
254,Curtis Withers,78.0,82.0,4.0
255,Mohamed Abukar,80.0,81.0,1.0
256,Mario Boggan,77.0,86.0,9.0
257,Craig Bradshaw,80.0,85.5,5.5
258,Corey Brewer,78.0,80.25,2.25
259,Aaron Brooks,70.0,76.0,6.0
260,Bobby Brown,71.0,76.0,5.0
261,Russell Carter,75.0,80.5,5.5
262,Coleman Collins,80.0,86.0,6.0
263,Mike Conley,71.0,77.75,6.75
264,Daequan Cook,75.0,80.25,5.25
265,Ryvon Covile,79.0,85.25,6.25
266,Javaris Crittenton,75.0,77.5,2.5
267,Jermareo Davidson,81.0,88.0,7.0
268,Justin Doellman,80.0,80.75,0.75
269,Zabian Dowdell,73.0,82.0,9.0
270,Jared Dudley,77.0,79.0,2.0
271,Kevin Durant,81.0,88.75,7.75
272,Rashaun Freeman,78.0,83.5,5.5
273,Aaron Gray,84.0,87.25,3.25
274,Caleb Green,78.0,83.75,5.75
