,name,height_inches,wingspan_inches,relative
143,"Topic, Nikola",77.8,77.5,-0.29999999999999716
144,"Toppin, JT",79.0,84.5,5.5
145,"Tyson, Jaylon",77.5,80.0,2.5
146,"Walter, Ja'Kobe",76.3,82.0,5.700000000000003
147,"Ware, Kel'el",83.8,88.5,4.700000000000003
148,"Wells, Jaylen",78.5,79.3,0.7999999999999972
149,"Williams, Cody",78.5,85.0,6.5
150,"Bailey, Amari",75.3,79.0,3.700000000000003
151,"Bates, Emoni",80.3,81.0,0.7000000000000028
152,"Black, Anthony",77.8,79.5,1.7000000000000028
153,"Brown, Kobe",78.5,84.8,6.299999999999997
154,"Bufkin, Kobe",76.3,79.8,3.5
155,"Camara, Toumani",79.0,84.5,5.5
156,"Cissoko, Sidy",77.5,81.8,4.299999999999997
157,"Clark, Jaylen",76.0,81.0,5.0
158,"Council IV, Ricky",77.0,81.0,4.0
159,"Dick, Gradey",78.3,80.8,2.5
160,"Flagler, Adam",73.0,76.5,3.5
161,"Gueye, Mouhamed",82.3,87.3,5.0
162,"Hawkins, Jordan",76.3,78.8,2.5
163,"Hendricks, Taylor",80.3,84.5,4.200000000000003
164,"Hood-Schifino, Jalen",76.3,82.3,6.0
165,"Jackson Jr., Andre",77.5,81.8,4.299999999999997
166,"Jackson-Davis, Trayce",80.3,85.0,4.700000000000003
167,"Jackson, GG",80.3,83.5,3.200000000000003
168,"Jaquez Jr., Jaime",78.0,81.5,3.5
169,"Johnson, Keyontae",76.0,84.0,8.0
170,"Jones, Colby",76.5,80.0,3.5
171,"Kaluma, Arthur",78.3,84.5,6.200000000000003
172,"King, Mojave",75.8,80.0,4.200000000000003
173,"Lewis, Maxwell",78.3,84.0,5.700000000000003
174,"Livingston, Chris",78.0,83.3,5.299999999999997
175,"Lundy, Seth",76.0,82.3,6.299999999999997
176,"Miles Jr., Mike",72.8,72.5,-0.29999999999999716
177,"Miller, Jordan",76.5,83.8,7.299999999999997
178,"Miller, Leonard",81.3,86.0,4.700000000000003
179,"Mintz, Judah",75.0,75.5,0.5
180,"Mitchell, Dillon",78.8,82.0,3.200000000000003
181,"Moore, Omari",77.3,81.8,4.5
182,"Murray, Kris",79.8,83.8,4.0
183,"Phillips, Julian",78.8,83.5,4.700000000000003
184,"Pickett, Jalen",74.0,79.3,5.299999999999997
185,"Podziemski, Brandin",75.8,77.5,1.7000000000000028
186,"Prosper, Olivier-Maxence",78.8,85.0,6.200000000000003
187,"Rupert, Rayan",78.0,86.0,8.0
188,"Sanogo, Adama",79.3,86.8,7.5
189,"Sasser, Marcus",73.3,79.0,5.700000000000003
190,"Sheppard, Ben",77.3,79.8,2.5
191,"Slawson, Jalen",78.5,83.8,5.299999999999997
192,"Smith, Terquavion",74.5,78.8,4.299999999999997
193,"Strawther, Julian",78.0,81.3,3.299999999999997
194,"Thompson, Amen",77.8,84.0,6.200000000000003
195,"Thompson, Ausar",77.8,84.0,6.200000000000003
196,"Timme, Drew",80.8,85.8,5.0
197,"Tshiebwe, Oscar",79.3,87.5,8.200000000000003
198,"Tubelis, Azuolas",80.8,83.0,2.200000000000003
199,"Vukcevic, Tristan",83.3,86.5,3.200000000000003
200,"Walker, Jarace",78.5,86.5,8.0
201,"Wallace, Cason",74.5,80.5,6.0
202,"Walsh, Jordan",77.8,85.8,8.0
203,"Whitehead, Dariq",77.8,82.3,4.5
204,"Whitmore, Cam",77.8,80.5,2.700000000000003
205,"Wilson, Jalen",77.5,80.0,2.5
206,"Wong, Isaiah",74.5,78.8,4.299999999999997
207,"Agbaji, Ochai",76.5,82.25,5.75
208,"Baldwin Jr., Patrick",81.25,85.75,4.5
209,"Barlow, Dominick",80.75,87.0,6.25
210,"Beauchamp, MarJon",77.25,84.75,7.5
211,"Besson, Hugo",76.5,77.5,1.0
212,"Branham, Malaki",76.0,82.0,6.0
213,"Braun, Christian",77.5,78.5,1.0
214,"Brown, Kendall",78.25,83.0,4.75
215,"Butler Jr., John",83.75,86.25,2.5
216,"Champagnie, Julian",78.25,82.0,3.75
217,"Chandler, Kennedy",71.5,77.25,5.75
218,"Christie, Max",76.25,80.75,4.5
219,"Cockburn, Kofi",83.0,88.25,5.25
220,"Daniels, Dyson",78.0,82.5,4.5
221,"Davis, Johnny",76.25,80.5,4.25
222,"Davison, JD",72.5,78.5,6.0
223,"Diabate, Moussa",81.25,86.5,5.25
224,"Eason, Tari",78.75,86.0,7.25
225,"Ellis, Keon",75.5,80.5,5.0
226,"Foster Jr., Michael",79.75,84.25,4.5
227,"Gillespie, Collin",73.5,76.0,2.5
228,"Harper Jr., Ron",76.0,85.25,9.25
229,"Jovic, Nikola",81.5,84.25,2.75
230,"Juzang, Johnny",77.25,83.0,5.75
231,"Keels, Trevor",75.25,79.25,4.0
232,"Kessler, Walker",84.25,88.25,4.0
233,"Koloko, Christian",82.75,89.25,6.5
234,"LaRavia, Jake",78.75,81.5,2.75
235,"Lewis, Justin",78.25,86.5,8.25
236,"Liddell, E.J.",77.5,83.75,6.25
237,"Mathurin, Bennedict",76.5,81.0,4.5
238,"Mayer, Matthew",80.0,82.5,2.5
239,"McGowens, Bryce",77.25,80.75,3.5
240,"Mohammed, Aminu",75.5,83.0,7.5
241,"Molinar, Iverson",74.25,80.0,5.75
242,"Montero, Jean",73.0,77.25,4.25
243,"Moore, Wendell",76.25,84.5,8.25
244,"Nembhard, Andrew",75.0,77.75,2.75
245,"Pippen Jr., Scotty",72.0,77.75,5.75
246,"Procida, Gabriele",77.75,80.0,2.25
247,"Robinson, Orlando",81.75,88.0,6.25
248,"Roddy, David",76.5,83.5,7.0
249,"Rollins, Ryan",74.0,81.75,7.75
250,"Seabron, Dereon",76.75,80.75,4.0
251,"Sharpe, Shaedon",76.25,83.5,7.25
252,"Spagnolo, Matteo",76.0,80.0,4.0
253,"Terry, Dalen",78.0,84.75,6.75
254,"Walker, Jabari",78.75,82.75,4.0
255,"Washington Jr., TyTy",74.25,80.0,5.75
256,"Watson, Peyton",78.75,84.5,5.75
257,"Wesley, Blake",75.0,81.25,6.25
258,"Williams, Alondes",75.75,79.0,3.25
259,"Williams, Jalen",76.5,86.25,9.75
260,"Williams, Jaylin",80.75,85.0,4.25
261,"Williams, Mark",84.0,90.5,6.5
262,"Williams, Trevion",79.25,86.75,7.5
263,"Abmas, Max",70.5,73.75,3.25
264,"Bagley, Marcus",78.0,83.0,5.0
265,"Barnes, Scottie",79.0,86.75,7.75
266,"Bassey, Charles",81.25,87.0,5.75
267,"Boston Jr., Brandon",77.75,82.75,5.0
268,"Bouknight, James",75.5,80.25,4.75
269,"Brown III, Greg",79.25,84.25,5.0
270,"Butler, Jared",74.25,76.0,1.75
271,"Champagnie, Justin",77.75,81.5,3.75
272,"Christopher, Josh",75.25,81.25,6.0
273,"Dosunmu, Ayo",75.5,82.25,6.75
274,"Duke Jr., David",76.25,80.75,4.5
275,"Edwards, Kessler",79.0,83.25,4.25
276,"Garza, Luka",82.0,85.5,3.5
277,"Gray, RaiQuan",78.5,82.75,4.25
278,"Grimes, Quentin",76.0,80.0,4.0
279,"Hauser, Sam",78.75,81.25,2.5
280,"Henry, Aaron",76.5,82.75,6.25
281,"Hurt, Matt",80.5,81.5,1.0
282,"Hyland, Nah'Shon",74.0,81.25,7.25
283,"Johnson, David",75.25,82.5,7.25
284,"Johnson, Jalen",79.75,84.25,4.5
285,"Johnson, Keon",75.5,79.25,3.75
286,"Jones, Carlik",72.0,77.0,5.0
287,"Jones, Herbert",78.0,84.25,6.25
288,"Jones, Kai",82.0,85.75,3.75
289,"Kispert, Corey",78.0,79.0,1.0
290,"Lawson, AJ",77.5,78.75,1.25
291,"Lewis, Scottie",76.0,84.0,8.0
292,"Livers, Isaiah",77.75,81.25,3.5
293,"Maker, Makur",82.25,85.75,3.5
294,"Mamukelashvili, Sandro",81.0,85.25,4.25
295,"Mann, Tre",75.25,76.0,0.75
296,"McBride, Miles",73.0,80.75,7.75
297,"Mitchell, Davion",72.0,76.25,4.25
298,"Mobley, Isaiah",80.0,87.0,7.0
299,"Moody, Moses",76.5,84.75,8.25
300,"Murphy III, Trey",79.5,84.0,4.5
301,"Nix, Daishen",75.0,78.75,3.75
302,"Petty Jr., John",76.5,81.5,5.0
303,"Pons, Yves",77.5,84.75,7.25
304,"Preston, Jason",75.0,80.5,5.5
305,"Primo, Joshua",76.0,81.25,5.25
306,"Prkacin, Roko",79.5,83.0,3.5
307,"Queta, Neemias",83.25,88.0,4.75
308,"Reaves, Austin",76.5,78.25,1.75
309,"Robinson-Earl, Jeremiah",79.75,81.75,2.0
310,"Sims, Jericho",81.0,87.25,6.25
311,"Springer, Jaden",75.0,79.75,4.75
312,"Steward, DJ",72.75,79.0,6.25
313,"Thor, JT",80.5,87.25,6.75
314,"Todd, Isaiah",80.75,85.25,4.5
315,"Washington Jr., Duane",74.25,79.75,5.5
316,"Watford, Trendon",79.5,86.25,6.75
317,"Wieskamp, Joe",77.75,83.0,5.25
318,"Wiggins, Aaron",76.5,81.75,5.25
319,"Williams, Ziaire",80.25,82.25,2.0
320,"Wright IV, McKinley",71.25,77.25,6.0
321,"Wright, Moses",79.75,84.75,5.0
322,"Zegarowski, Marcus",72.75,74.75,2.0
323,"Achiuwa, Precious",79.5,84.75,5.25
324,"Alexander, Ty-Shon",74.0,80.0,6.0
325,"Azubuike, Udoka",82.0,91.25,9.25
326,"Bey, Tyler",78.0,85.25,7.25
327,"Childs, Yoeli",78.0,83.5,5.5
328,"Diakite, Mamadi",80.5,87.75,7.25
329,"Dotson, Devon",72.5,75.0,2.5
330,"Eboua, Paul",78.0,87.5,9.5
331,"Elleby, CJ",77.5,79.25,1.75
332,"Forrest, Trent",75.5,79.5,4.0
333,"Green, Josh",76.5,81.75,5.25
334,"Hagans, Ashton",73.5,80.0,6.5
335,"Hall, Joshua",78.0,83.0,5.0
336,"Harris, Jalen",74.75,79.0,4.25
337,"Howard, Markus",69.5,72.25,2.75
338,"Hughes, Elijah",76.75,79.5,2.75
339,"Joe, Isaiah",75.0,79.5,4.5
340,"Jones, Mason",75.75,79.0,3.25
341,"Knight, Nathan",80.0,86.0,6.0
342,"Maledon, Theo",76.0,80.75,4.75
343,"Mane, Karim",77.0,83.0,6.0
344,"Marshall, Naji",77.75,84.75,7.0
345,"Martin Jr., Kenyon",78.0,79.25,1.25
346,"Mays, Skylar",75.0,78.0,3.0
347,"Nnaji, Zeke",81.25,86.0,4.75
348,"Nwora, Jordan",77.75,82.25,4.5
349,"Perry, Reggie",80.25,84.25,4.0
350,"Powell, Myles",72.5,79.0,6.5
351,"Quickley, Immanuel",74.0,80.25,6.25
352,"Ramsey, Jahmi'us",74.5,78.0,3.5
353,"Reed Jr., Paul",80.5,86.0,5.5
354,"Richards, Nick",82.5,86.25,3.75
355,"Riller, Grant",72.25,77.25,5.0
356,"Scrubb, Jayden",77.0,81.5,4.5
357,"Smith, Jalen",81.25,86.25,5.0
358,"Stanley, Cassius",77.0,79.0,2.0
359,"Stevens, Lamar",77.75,81.0,3.25
360,"Stewart, Isaiah",79.25,88.75,9.5
361,"Terry, Tyrell",73.5,73.75,0.25
362,"Tillie, Killian",80.75,80.0,-0.75
363,"Tillman Sr., Xavier",79.5,86.0,6.5
364,"Wesson, Kaleb",81.25,87.5,6.25
365,"Whitney, Kahlil",77.5,84.25,6.75
366,"Winston, Cassius",72.5,78.0,5.5
367,"Woodard II, Robert",77.5,86.0,8.5
368,"Alexander-Walker, Nickeil",76.25,81.5,5.25
369,"Bazley, Darius",79.75,84.0,4.25
370,"Bol, Bol",84.75,91.0,6.25
371,"Bone, Jordan",73.5,75.25,1.75
372,"Bowen II, Brian",78.25,82.0,3.75
373,"Bowman, Ky",73.0,79.0,6.0
374,"Brazdeikis, Ignas",77.75,81.25,3.5
375,"Brissett, O'Shae",79.0,84.0,5.0
376,"Brown, Moses",85.25,88.75,3.5
377,"Clarke, Brandon",79.25,80.25,1.0
378,"Claxton, Nicolas",82.0,86.5,4.5
379,"Cook, Tyler",79.25,84.5,5.25
380,"Culver, Jarrett",77.25,81.5,4.25
381,"Davis, Terence",75.0,80.75,5.75
382,"Dort, Luguentz",74.75,80.5,5.75
383,"Edwards, Carsen",70.75,78.0,7.25
384,"Fall, Tacko",89.25,98.25,9.0
385,"Fernando, Bruno",80.75,87.25,6.5
386,"Gafford, Daniel",81.25,86.25,5.0
387,"Guy, Kyle",72.75,76.5,3.75
388,"Hands, Jaylen",73.5,77.5,4.0
389,"Harper, Jared",69.75,77.5,7.75
390,"Hayes, Jaxson",82.25,87.5,5.25
391,"Hernandez, Dewan",81.0,85.75,4.75
392,"Herro, Tyler",76.5,75.25,-1.25
393,"Hoard, Jalen",79.25,84.75,5.5
394,"Horton-Tucker, Talen",74.5,85.25,10.75
395,"Jeffries, DaQuan",76.0,83.25,7.25
396,"Jerome, Ty",76.25,76.0,-0.25
397,"Johnson, Cameron",79.0,82.0,3.0
398,"Johnson, Keldon",76.75,81.25,4.5
399,"Kabengele, Mfiondu",80.75,87.0,6.25
400,"King, Louis",78.75,84.25,5.5
401,"Langford, Romeo",76.5,83.0,6.5
402,"Lawson, Dedric",79.0,86.25,7.25
403,"Lecque, Jalen",74.5,80.5,6.0
404,"Little, Nassir",76.5,85.25,8.75
405,"Mann, Terance",76.75,79.75,3.0
406,"Martin, Cody",76.75,82.25,5.5
407,"Matthews, Charles",77.0,81.5,4.5
408,"McDaniels, Jalen",80.25,84.25,4.0
409,"Norvell Jr., Zach",76.5,78.0,1.5
410,"Nowell, Jaylen",75.25,79.25,4.0
411,"Okpala, KZ",79.25,85.75,6.5
412,"Oni, Miye",76.25,82.75,6.5
413,"Paschall, Eric",78.0,83.75,5.75
414,"Ponds, Shamorie",71.5,75.5,4.0
415,"Poole, Jordan",75.5,78.75,3.25
416,"Porter Jr., Kevin",76.0,81.0,5.0
417,"Porter, Jontay",81.75,84.0,2.25
418,"Reddish, Cameron",78.5,84.5,6.0
419,"Reid, Naz",80.75,87.25,6.5
420,"Roby, Isaiah",79.25,85.0,5.75
421,"Samanic, Luka",81.5,82.5,1.0
422,"Schofield, Admiral",76.0,81.75,5.75
423,"Shayok, Marial",76.5,84.25,7.75
424,"Shittu, Simisola",80.5,85.25,4.75
425,"Washington, P.J.",78.5,86.25,7.75
426,"Waters, Tremont",69.5,74.25,4.75
427,"Weatherspoon, Quinndary",75.0,81.0,6.0
428,"White, Coby",75.5,77.0,1.5
429,"Wilkes, Kris",78.25,82.75,4.5
430,"Williams, Grant",77.75,81.75,4.0
431,"Windler, Dylan",78.25,82.0,3.75
432,"Alkins, Rawle",74.75,80.75,6.0
433,"Allen, Grayson",75.0,79.25,4.25
434,"Antetokounmpo, Kostas",81.0,86.25,5.25
435,"Bamba, Mohamed",83.25,94.0,10.75
436,"Barford, Jaylen",73.25,75.5,2.25
437,"Bates-Diop, Keita",79.25,87.25,8.0
438,"Battle, Tyus",77.0,81.0,4.0
439,"Bowen, Brian",78.25,82.25,4.0
440,"Bridges, Miles",77.25,81.5,4.25
441,"Brown, Bruce",75.5,81.0,5.5
442,"Brown, Troy",77.75,82.25,4.5
443,"Brunson, Jalen",73.0,76.0,3.0
444,"Carr, Tony",75.0,80.25,5.25
445,"Carter, Jevon",72.25,76.25,4.0
446,"Carter, Wendell",80.75,88.5,7.75
447,"Diallo, Hamidou",76.25,83.5,7.25
448,"DiVincenzo, Donte",75.5,78.0,2.5
449,"Duval, Trevon",73.5,80.25,6.75
450,"Evans, Jacob",76.25,81.25,5.0
451,"Evans, Keenan",73.5,77.25,3.75
452,"Frazier, Melvin",76.5,85.75,9.25
453,"Gilgeous-Alexander, Shai",76.5,83.5,7.0
454,"Graham, Devonte",72.25,78.25,6.0
455,"Haas, Isaac",85.25,89.0,3.75
456,"Hall, Devon",76.25,79.75,3.5
457,"Hervey, Kevin",78.5,87.5,9.0
458,"Holiday, Aaron",71.75,79.5,7.75
459,"Huerter, Kevin",78.25,79.5,1.25
460,"Jackson, Jaren",81.75,89.25,7.5
461,"Jackson, Justin",78.0,87.0,9.0
462,"Johnson, Alize",79.25,80.75,1.5
463,"King, George",76.75,83.5,6.75
464,"Knox, Kevin",79.75,83.75,4.0
465,"Konate, Sagaba",78.5,84.0,5.5
466,"Martin, Caleb",76.75,82.0,5.25
467,"Maten, Yante",79.25,84.5,5.25
468,"McCoy, Brandon",83.5,86.0,2.5
469,"Melton, DeAnthony",74.25,80.5,6.25
470,"Metu, Chimezie",80.5,84.5,4.0
471,"Milton, Shake",76.5,84.75,8.25
472,"Mykhailiuk, Sviatoslav",78.5,76.75,-1.75
473,"Newman, Malik",74.5,77.5,3.0
474,"Okogie, Josh",75.0,84.0,9.0
475,"Pinson, Theo",77.0,82.75,5.75
476,"Porter, Michael",81.5,84.25,2.75
477,"Preston, Billy",80.75,86.0,5.25
478,"Robinson, Jerome",76.0,79.25,3.25
479,"Sexton, Collin",72.5,79.25,6.75
480,"Shamet, Landry",76.0,78.75,2.75
481,"Simons, Anfernee",74.25,81.25,7.0
482,"Smith, Zhaire",74.75,81.75,7.0
483,"Spalding, Ray",81.0,88.75,7.75
484,"Spellman, Omari",80.0,86.0,6.0
485,"Thomas, Khyri",74.5,82.5,8.0
486,"Trent, Gary",76.25,80.75,4.5
487,"Trier, Allonzo",75.75,78.75,3.0
488,"Wagner, Moritz",82.5,84.0,1.5
489,"Walker, Lonnie",75.75,82.25,6.5
490,"Washington, PJ",78.5,86.5,8.0
491,"Wiley, Austin",80.25,89.0,8.75
492,"Williams, Kenrich",78.0,79.25,1.25
493,"Young, Trae",72.5,75.0,2.5
494,"Adebayo, Edrice",80.75,86.75,6.0
495,"Allen, Jarrett",81.0,89.25,8.25
496,"Allen, Kadeem",73.0,81.25,8.25
497,"Anigbogu, Ike",80.5,90.25,9.75
498,"Anunoby, OG",78.25,86.25,8.0
499,"Artis, Jamel",77.5,82.0,4.5
500,"Bacon, Dwayne",76.75,82.0,5.25
501,"Beachem, V.J.",78.25,82.25,4.0
502,"Bell, Jordan",79.0,83.75,4.75
503,"Blossomgame, Jaron",77.75,82.0,4.25
504,"Boucher, Chris",80.0,88.0,8.0
505,"Bradley, Tony",81.25,89.0,7.75
506,"Briscoe, Isaiah",73.25,81.0,7.75
507,"Brooks, Dillon",77.0,78.0,1.0
508,"Bryant, Thomas",81.5,90.0,8.5
509,"Collins, John",80.25,83.25,3.0
510,"Collins, Zach",82.25,85.0,2.75
511,"Dorsey, Tyler",75.0,77.25,2.25
512,"Dotson, Damyean",76.5,81.0,4.5
513,"Dozier, PJ",77.25,83.0,5.75
514,"Evans, Jawun",70.75,77.5,6.75
515,"Ferguson, Terrance",77.5,80.75,3.25
516,"Fox, De'Aaron",74.0,78.5,4.5
517,"Giles, Harry",81.25,87.25,6.0
518,"Hart, Josh",75.75,80.25,4.5
519,"Hayes, Nigel",78.25,87.25,9.0
520,"Hicks, Isaiah",79.25,84.5,5.25
521,"Iwundu, Wesley",77.5,85.0,7.5
522,"Jackson (UMD), Justin",77.75,87.25,9.5
523,"Jackson (UNC), Justin",79.0,83.0,4.0
524,"Jackson, Frank",74.0,79.5,5.5
525,"Jok, Peter",76.25,80.0,3.75
526,"Kennard, Luke",76.5,77.25,0.75
527,"Kuzma, Kyle",80.0,84.25,4.25
528,"Leaf, TJ",80.75,83.0,2.25
529,"Lydon, Tyler",80.25,84.0,3.75
530,"Mason III, Frank",71.0,75.25,4.25
531,"Meeks, Kennedy",80.75,85.0,4.25
532,"Mitchell, Donovan",73.25,82.0,8.75
533,"Morris, Monte",73.25,76.0,2.75
534,"Motley, Johnathan",79.75,88.0,8.25
535,"Mykhailiuk, Svi",78.5,77.0,-1.5
536,"Ojeleye, Semi",77.25,81.75,4.5
537,"Oliver, Cameron",79.0,85.25,6.25
538,"Patton, Justin",82.0,87.0,5.0
539,"Peters, Alec",79.25,82.75,3.5
540,"Rabb, Ivan",80.75,85.5,4.75
541,"Reed, Davon",76.5,84.0,7.5
542,"Robinson, Devin",79.0,84.75,5.75
543,"Simmons, Kobi",75.25,78.0,2.75
544,"Sumner, Edmond",76.0,81.0,5.0
545,"Swanigan, Caleb",79.5,87.0,7.5
546,"Thornwell, Sindarius",75.5,82.0,6.5
547,"Trimble, Melo",73.25,74.0,0.75
548,"Walton Jr., Derrick",71.0,74.5,3.5
549,"Welsh, Thomas",83.5,84.0,0.5
