Player,LEBRON,O-LEBRON,D-LEBRON
Wes Iwundu,-1.008,-1.52,0.512
Davon Reed,-1.015,-1.194,0.179
Derrick Jones Jr.,-1.021,-0.861,-0.16
T.J. Warren,-1.025,0.452,-1.476
Kris Dunn,-1.031,-1.661,0.63
Brandon Jennings,-1.034,-0.14,-0.894
Jabari Parker,-1.049,0.835,-1.884
Myke Henry,-1.062,-1.182,0.12
Patrick Patterson,-1.062,-1.405,0.344
Troy Williams,-1.063,-0.432,-0.631
Omri Casspi,-1.08,-1.201,0.121
Stanley Johnson,-1.086,-2.021,0.935
Jordan Clarkson,-1.125,0.648,-1.773
Kyle Kuzma,-1.126,0.102,-1.229
Marco Belinelli,-1.129,0.376,-1.506
Corey Brewer,-1.14,-1.21,0.07
Tyler Ennis,-1.145,-1.419,0.274
Og Anunoby,-1.149,-1.2,0.051
Dennis Smith Jr.,-1.154,-0.666,-0.488
Glenn Robinson Iii,-1.159,-0.764,-0.395
Jordan Mickey,-1.176,-1.75,0.574
Thon Maker,-1.177,-1.522,0.345
Luke Babbitt,-1.182,-0.871,-0.311
Chandler Parsons,-1.183,-0.33,-0.853
Kelly Oubre Jr.,-1.195,-0.28,-0.915
Joe Harris,-1.198,-0.208,-0.99
Briante Weber,-1.198,-0.791,-0.407
Milos Teodosic,-1.2,0.223,-1.423
Maurice Harkless,-1.209,-2.026,0.817
Jamel Artis,-1.211,-0.698,-0.513
C.J. Williams,-1.216,-0.915,-0.301
Sindarius Thornwell,-1.239,-1.775,0.535
Caris Levert,-1.252,-0.458,-0.795
Malcolm Delaney,-1.252,-0.952,-0.3
Buddy Hield,-1.256,-0.688,-0.568
Harrison Barnes,-1.267,-0.553,-0.714
Dante Cunningham,-1.271,-1.222,-0.049
Shane Larkin,-1.276,-1.268,-0.008
Gorgui Dieng,-1.282,-1.708,0.426
Raul Neto,-1.285,-0.823,-0.462
Malachi Richardson,-1.286,-1.541,0.255
Zach Randolph,-1.296,-0.557,-0.739
Alec Burks,-1.313,-0.863,-0.449
Johnny O'Bryant Iii,-1.313,-1.008,-0.305
Marcus Morris Sr.,-1.322,0.06,-1.382
James Ennis Iii,-1.328,-1.264,-0.064
Ian Mahinmi,-1.336,-2.219,0.883
Travis Wear,-1.337,-1.634,0.297
Alex Caruso,-1.341,-1.825,0.485
Jonathan Isaac,-1.352,-3.16,1.808
Denzel Valentine,-1.357,-1.328,-0.029
Luc Mbah A Moute,-1.373,-1.805,0.432
Torrey Craig,-1.377,-1.045,-0.332
Markelle Fultz,-1.377,-0.761,-0.615
Jarrett Allen,-1.397,-1.406,0.009
Jason Terry,-1.398,-1.716,0.318
Alex Abrines,-1.408,-0.389,-1.019
Wilson Chandler,-1.431,-1.354,-0.078
Aaron Harrison,-1.431,-1.289,-0.142
Dwight Buycks,-1.439,-0.599,-0.84
Bogdan Bogdanović,-1.448,-0.898,-0.55
Taurean Prince,-1.46,-1.28,-0.179
Evan Fournier,-1.463,-0.03,-1.433
Pat Connaughton,-1.472,-0.646,-0.826
D'Angelo Russell,-1.484,0.553,-2.038
Quincy Acy,-1.514,-1.561,0.047
Tony Parker,-1.517,-0.907,-0.61
Garrett Temple,-1.533,-1.531,-0.003
Mario Hezonja,-1.538,-1.012,-0.526
Deandre' Bembry,-1.554,-2.553,0.999
Justin Anderson,-1.555,-0.108,-1.447
Ivan Rabb,-1.56,-1.364,-0.195
Dorian Finney-Smith,-1.565,-1.514,-0.051
Jr Smith,-1.573,-0.343,-1.23
Ryan Arcidiacono,-1.621,-2.118,0.497
Jawun Evans,-1.631,-1.628,-0.003
Tyler Ulis,-1.653,-0.971,-0.682
Damyean Dotson,-1.668,-0.672,-0.997
Raymond Felton,-1.689,-0.479,-1.21
Doug Mcdermott,-1.723,-0.601,-1.122
Jamychal Green,-1.73,-1.229,-0.501
Tarik Black,-1.731,-2.126,0.395
Isaiah Thomas,-1.733,0.802,-2.535
Nick Young,-1.763,0.114,-1.876
Luke Kennard,-1.785,-1.157,-0.628
Rodney Hood,-1.789,-0.162,-1.627
Skal Labissiere,-1.791,-2.01,0.219
Bryn Forbes,-1.795,-0.981,-0.814
Iman Shumpert,-1.802,-1.644,-0.158
Bismack Biyombo,-1.805,-2.213,0.408
Deandre Liggins,-1.812,-2.783,0.971
Jose Calderon,-1.813,-1.359,-0.454
E'Twaun Moore,-1.828,-0.711,-1.117
Robin Lopez,-1.836,-2.132,0.296
Rodney Purvis,-1.869,-0.582,-1.287
Nik Stauskas,-1.869,-1.058,-0.81
Terrence Ross,-1.878,-1.586,-0.293
Evan Turner,-1.888,-1.715,-0.172
David Nwaba,-1.909,-1.555,-0.355
Mike Scott,-1.927,-0.675,-1.251
Jahlil Okafor,-1.934,-2.133,0.2
Derrick Rose,-1.944,-0.436,-1.508
Treveon Graham,-1.95,-2.144,0.194
T.J. Mcconnell,-1.965,-1.599,-0.366
Zach Collins,-1.968,-2.162,0.194
Andrew White Iii,-1.98,-1.564,-0.416
Jarell Martin,-2.046,-1.855,-0.191
Tyrone Wallace,-2.054,-0.898,-1.156
Tyler Dorsey,-2.187,-1.003,-1.183
Sterling Brown,-2.195,-1.483,-0.713
Dion Waiters,-2.198,-1.163,-1.034
Isaiah Taylor,-2.268,-1.195,-1.073
Shaun Livingston,-2.292,-1.485,-0.807
Tony Allen,-2.315,-1.684,-0.631
Miles Plumlee,-2.328,-3.454,1.127
Frank Ntilikina,-2.345,-1.87,-0.475
Dwayne Bacon,-2.389,-2.55,0.161
Matthew Dellavedova,-2.393,-1.195,-1.198
Patrick Mccaw,-2.408,-1.237,-1.171
Isaiah Hicks,-2.409,-2.095,-0.315
Troy Daniels,-2.439,-0.004,-2.436
Deyonta Davis,-2.45,-1.628,-0.822
Justin Jackson,-2.459,-1.892,-0.566
Timofey Mozgov,-2.46,-3.298,0.838
Courtney Lee,-2.507,-1.148,-1.36
Josh Huestis,-2.539,-2.47,-0.069
Tony Snell,-2.597,-1.771,-0.826
Cristiano Felicio,-2.653,-2.063,-0.59
Joe Johnson,-2.666,-1.425,-1.241
Josh Jackson,-2.668,-1.217,-1.45
Timothe Luwawu-Cabarrot,-2.702,-1.053,-1.649
Quinn Cook,-2.705,-1.067,-1.637
Norman Powell,-2.802,-2.035,-0.767
Darius Miller,-2.831,-0.373,-2.458
Abdel Nader,-2.841,-2.43,-0.41
Malik Monk,-2.847,-0.902,-1.945
Paul Zipser,-2.862,-3.084,0.222
De'Aaron Fox,-2.903,-1.546,-1.357
Jameer Nelson,-2.919,-1.704,-1.215
Lance Thomas,-2.979,-3.025,0.046
Terrance Ferguson,-3.014,-1.837,-1.176
Jerryd Bayless,-3.014,-2.159,-0.855
Dillon Brooks,-3.045,-1.966,-1.079
Ian Clark,-3.157,-1.521,-1.635
Emmanuel Mudiay,-3.185,-1.401,-1.784
Dragan Bender,-3.245,-2.937,-0.308
Joe Young,-3.25,-1.53,-1.72
Wayne Selden,-3.278,-1.303,-1.975
Jonathon Simmons,-3.3,-1.69,-1.61
Ben Mclemore,-3.342,-2.083,-1.258
Semi Ojeleye,-3.399,-2.999,-0.4
Jamal Crawford,-3.431,-0.288,-3.143
Arron Afflalo,-4.011,-2.599,-1.412
Kobi Simmons,-4.176,-2.138,-2.038
