Player,LEBRON,O-LEBRON,D-LEBRON
Klay Thompson,0.526,1.07,-0.544
Luke Kornet,0.517,-0.527,1.044
Marvin Williams,0.497,-0.101,0.598
Dewayne Dedmon,0.491,-1.103,1.594
Kelly Olynyk,0.48,-0.549,1.03
Darren Collison,0.48,0.611,-0.131
Maurice Harkless,0.453,-0.831,1.284
Eric Gordon,0.448,1.522,-1.075
Lauri Markkanen,0.443,1.025,-0.582
Julius Randle,0.434,1.23,-0.797
Caris Levert,0.432,0.872,-0.441
Monté Morris,0.412,0.905,-0.493
Tyus Jones,0.411,0.283,0.128
D.J. Augustin,0.396,0.695,-0.299
Salah Mejri,0.378,-0.816,1.194
Cody Zeller,0.335,-0.605,0.94
Nikola Mirotic,0.325,0.904,-0.579
Frank Kaminsky,0.316,0.708,-0.392
Kenneth Faried,0.31,0.663,-0.353
Aaron Gordon,0.273,-0.589,0.862
Elfrid Payton,0.267,0.184,0.083
Lou Williams,0.249,3.017,-2.768
Patty Mills,0.206,1.238,-1.032
Larry Nance Jr.,0.191,-0.567,0.759
Goran Dragic,0.183,0.556,-0.373
Evan Fournier,0.148,0.091,0.057
Willy Hernangomez,0.145,0.556,-0.411
Ian Mahinmi,0.078,-1.243,1.321
George Hill,0.059,-0.092,0.151
P.J. Tucker,0.055,-1.449,1.505
Justise Winslow,0.048,-1.052,1.1
Gorgui Dieng,0.045,-1.39,1.435
Corey Brewer,0.038,-0.578,0.615
John Collins,0.009,1.359,-1.35
Pat Connaughton,0.0,0.518,-0.518
Wendell Carter Jr.,0.0,-2.06,2.06
Taj Gibson,-0.009,-0.036,0.028
Tomas Satoransky,-0.013,0.019,-0.033
Lonzo Ball,-0.017,-0.918,0.901
Josh Okogie,-0.02,-0.884,0.863
Derrick Jones Jr.,-0.022,-0.34,0.319
Noah Vonleh,-0.025,-1.706,1.681
Spencer Dinwiddie,-0.071,1.224,-1.295
Christian Wood,-0.113,-0.184,0.071
Demarre Carroll,-0.117,0.172,-0.289
Buddy Hield,-0.128,1.321,-1.449
Kosta Koufos,-0.159,-1.644,1.485
Kenrich Williams,-0.17,-0.784,0.614
Kyle Kuzma,-0.178,0.783,-0.961
Michael Kidd-Gilchrist,-0.187,-1.137,0.951
T.J. Mcconnell,-0.192,-0.041,-0.152
Joe Harris,-0.193,-0.108,-0.085
Rondae Hollis-Jefferson,-0.195,-0.97,0.775
Bojan Bogdanović,-0.196,0.67,-0.866
Thabo Sefolosha,-0.21,-1.632,1.422
Ivica Zubac,-0.221,-1.236,1.015
Tim Hardaway Jr.,-0.228,0.366,-0.594
Meyers Leonard,-0.235,-0.562,0.327
Henry Ellenson,-0.257,-0.472,0.215
Jaylen Brown,-0.277,-0.647,0.37
David Nwaba,-0.307,-1.127,0.819
Jj Redick,-0.309,1.15,-1.46
Alex Caruso,-0.315,-0.143,-0.173
Alex Len,-0.32,-0.598,0.278
Kyle Korver,-0.347,0.025,-0.372
D.J. Wilson,-0.356,-0.698,0.342
Mo Bamba,-0.379,-2.224,1.845
Terrence Ross,-0.393,0.112,-0.505
Tristan Thompson,-0.404,-0.374,-0.03
Kadeem Allen,-0.406,0.072,-0.478
Sam Dekker,-0.407,-0.099,-0.308
Richaun Holmes,-0.416,-0.838,0.421
Rodney Hood,-0.425,0.151,-0.576
Marcus Morris Sr.,-0.426,-0.411,-0.015
Deandre Ayton,-0.454,-0.651,0.197
Furkan Korkmaz,-0.455,0.034,-0.489
Jalen Jones,-0.458,-1.229,0.771
Zach Lavine,-0.466,0.764,-1.23
Devin Harris,-0.47,0.077,-0.547
Luol Deng,-0.496,-0.315,-0.181
Michael Beasley,-0.501,-0.056,-0.445
Dwight Howard,-0.503,-1.364,0.861
Reggie Jackson,-0.508,0.317,-0.825
Ryan Arcidiacono,-0.509,-0.674,0.166
Miles Bridges,-0.519,-0.67,0.152
Omri Casspi,-0.519,-1.19,0.671
Evan Turner,-0.52,-0.653,0.134
Jordan Bell,-0.554,-1.305,0.751
Damian Jones,-0.557,-1.729,1.172
Jahlil Okafor,-0.597,-0.549,-0.049
Terry Rozier,-0.598,-0.598,-0.001
Johnathan Williams,-0.603,-0.156,-0.446
Devonte' Graham,-0.611,0.433,-1.044
Courtney Lee,-0.619,-0.865,0.246
Bruno Caboclo,-0.633,-0.796,0.163
Troy Brown Jr.,-0.65,-0.245,-0.405
Jr Smith,-0.65,-1.426,0.776
Kelly Oubre Jr.,-0.652,-0.295,-0.358
Jamychal Green,-0.657,-1.12,0.463
Dario Šarić,-0.666,-0.033,-0.633
Theo Pinson,-0.675,-0.593,-0.082
Trey Burke,-0.685,0.916,-1.601
Tyreke Evans,-0.686,-0.178,-0.508
Aron Baynes,-0.691,-1.566,0.875
Markieff Morris,-0.745,-0.701,-0.044
Jared Dudley,-0.746,-1.25,0.505
Nicolas Batum,-0.756,-0.874,0.118
Derrick Rose,-0.768,1.322,-2.09
Juancho Hernangomez,-0.776,-0.799,0.023
Jaron Blossomgame,-0.779,-1.064,0.285
Jaren Jackson Jr.,-0.786,-1.815,1.029
Trey Lyles,-0.794,-0.469,-0.326
Treveon Graham,-0.796,-1.135,0.339
Danté Exum,-0.797,-0.34,-0.457
Norman Powell,-0.807,-0.367,-0.441
Deandre Jordan,-0.813,-2.111,1.299
Malik Beasley,-0.821,0.28,-1.101
Bryn Forbes,-0.834,-1.118,0.284
Bogdan Bogdanović,-0.863,0.01,-0.873
Torrey Craig,-0.865,-0.952,0.087
Dennis Schröder,-0.869,0.451,-1.321
Dirk Nowitzki,-0.895,-0.471,-0.425
Gary Harris,-0.9,-0.15,-0.75
De'Anthony Melton,-0.907,-1.874,0.967
Raul Neto,-0.909,-0.062,-0.848
Jake Layman,-0.926,-1.12,0.195
Jordan Mcrae,-0.933,-0.458,-0.475
Mario Hezonja,-0.959,-1.082,0.123
Alec Burks,-0.965,-0.31,-0.655
Rodions Kurucs,-0.976,-1.054,0.078
Marquese Chriss,-0.995,-1.101,0.107
Jalen Brunson,-1.0,-0.299,-0.702
Bobby Portis,-1.009,-0.491,-0.518
Thon Maker,-1.017,-1.442,0.425
Ivan Rabb,-1.023,-1.413,0.39
Jonah Bolden,-1.026,-1.326,0.3
Frank Mason Iii,-1.029,-0.35,-0.679
Mike Muscala,-1.03,-1.256,0.226
Reggie Bullock Jr.,-1.04,-0.563,-0.477
Marcin Gortat,-1.04,-1.918,0.878
Amir Johnson,-1.041,-1.378,0.338
Kevin Huerter,-1.043,-0.699,-0.344
Greg Monroe,-1.048,-0.725,-0.323
Cheick Diallo,-1.063,-1.66,0.597
Zaza Pachulia,-1.072,-1.853,0.781
Tyson Chandler,-1.077,-2.356,1.278
Dion Waiters,-1.077,-0.427,-0.65
T.J. Warren,-1.081,-0.633,-0.448
Bismack Biyombo,-1.084,-1.857,0.773
Kyle Anderson,-1.087,-2.019,0.932
Tony Snell,-1.127,-0.598,-0.529
Wilson Chandler,-1.14,-1.554,0.414
Tyler Johnson,-1.146,-0.65,-0.497
Mikal Bridges,-1.172,-1.165,-0.007
Kentavious Caldwell-Pope,-1.186,-0.063,-1.123
Dorian Finney-Smith,-1.197,-0.781,-0.416
Zach Collins,-1.201,-1.679,0.478
Royce O'Neale,-1.209,-2.149,0.94
Langston Galloway,-1.223,-0.291,-0.932
Ante Zizic,-1.236,-1.397,0.161
Og Anunoby,-1.241,-1.398,0.157
Daniel Hamilton,-1.261,-1.007,-0.255
Josh Hart,-1.273,-1.614,0.342
Yogi Ferrell,-1.278,-0.497,-0.782
Seth Curry,-1.329,-0.779,-0.55
Shai Gilgeous-Alexander,-1.343,-2.064,0.721
Julian Washburn,-1.348,-1.441,0.094
Matthew Dellavedova,-1.352,-0.443,-0.909
James Ennis Iii,-1.357,-0.972,-0.385
Tyler Dorsey,-1.362,-0.36,-1.001
Shake Milton,-1.382,-0.67,-0.712
Will Barton,-1.383,-0.932,-0.451
Donte Divincenzo,-1.395,-1.137,-0.258
Dante Cunningham,-1.403,-2.087,0.685
Landry Shamet,-1.408,-0.461,-0.948
Alex Poythress,-1.411,-1.431,0.02
Nene,-1.411,-1.831,0.42
Marco Belinelli,-1.415,-0.234,-1.182
Ish Smith,-1.423,-0.624,-0.799
Moritz Wagner,-1.435,-1.668,0.234
James Johnson,-1.483,-1.723,0.24
Jeff Green,-1.486,-0.218,-1.268
Kris Dunn,-1.488,-1.748,0.26
Jeremy Lin,-1.5,-0.743,-0.757
Anthony Tolliver,-1.519,-1.083,-0.435
Tim Frazier,-1.53,-0.815,-0.715
Devin Booker,-1.53,1.934,-3.464
Brandon Ingram,-1.546,-0.42,-1.127
Garrett Temple,-1.563,-2.053,0.491
Gary Clark,-1.564,-1.249,-0.315
Wesley Matthews,-1.57,-0.566,-1.004
Vince Carter,-1.57,-1.466,-0.104
Rodney Mcgruder,-1.574,-1.138,-0.436
Terrance Ferguson,-1.582,-1.476,-0.106
Danuel House Jr.,-1.585,-0.334,-1.251
Alfonzo Mckinnie,-1.585,-0.939,-0.647
Trae Young,-1.587,0.798,-2.384
Cam Reynolds,-1.596,-0.817,-0.779
Marvin Bagley Iii,-1.602,0.068,-1.67
Troy Williams,-1.618,-1.763,0.145
Sterling Brown,-1.632,-1.063,-0.569
Justin Holiday,-1.633,-2.077,0.444
Jerian Grant,-1.673,-1.697,0.025
Ryan Broekhoff,-1.673,-0.639,-1.034
Keita Bates-Diop,-1.707,-1.42,-0.286
Shaquille Harrison,-1.722,-2.231,0.509
Andrew Wiggins,-1.725,-0.162,-1.564
Omari Spellman,-1.728,-1.281,-0.447
Brandon Knight,-1.728,-1.309,-0.419
Glenn Robinson Iii,-1.749,-2.259,0.51
Troy Daniels,-1.751,-0.473,-1.279
Trevor Ariza,-1.755,-1.037,-0.718
Dwayne Bacon,-1.762,-0.944,-0.818
Malik Monk,-1.777,-0.674,-1.103
Kent Bazemore,-1.779,-1.647,-0.132
Dragan Bender,-1.801,-1.805,0.004
Chasson Randle,-1.828,-0.586,-1.242
Iman Shumpert,-1.828,-1.446,-0.382
Markelle Fultz,-1.868,-1.873,0.004
Deandre' Bembry,-1.874,-2.137,0.263
Carmelo Anthony,-1.883,-0.905,-0.979
Jevon Carter,-1.886,-1.729,-0.157
Tony Parker,-1.886,-0.548,-1.338
Luke Kennard,-1.907,-0.88,-1.027
Cameron Payne,-1.913,-1.633,-0.28
Aaron Holiday,-1.921,-0.952,-0.969
Dennis Smith Jr.,-1.934,-1.436,-0.498
Rajon Rondo,-1.943,-1.184,-0.76
Raymond Felton,-1.945,-0.829,-1.115
Harrison Barnes,-1.957,-0.649,-1.307
Dwyane Wade,-1.962,-0.197,-1.766
Jabari Parker,-1.987,-1.333,-0.654
Chandler Parsons,-1.995,-1.541,-0.454
Doug Mcdermott,-1.998,-1.096,-0.902
Marshon Brooks,-2.011,-0.756,-1.255
Brandon Sampson,-2.012,-1.744,-0.268
Shaun Livingston,-2.029,-1.389,-0.64
Gerald Green,-2.034,0.265,-2.3
Jerryd Bayless,-2.054,-0.448,-1.606
Harry Giles Iii,-2.077,-1.706,-0.371
Semi Ojeleye,-2.082,-1.28,-0.802
Justin Jackson,-2.091,-1.056,-1.036
Jaylen Adams,-2.093,-1.756,-0.337
Wesley Johnson,-2.11,-2.091,-0.019
Frank Ntilikina,-2.115,-2.331,0.216
Cj Miles,-2.133,-1.119,-1.014
Patrick Mccaw,-2.136,-2.28,0.144
Taurean Prince,-2.14,-1.414,-0.726
Allen Crabbe,-2.14,-1.703,-0.437
Austin Rivers,-2.159,-1.075,-1.084
Timothe Luwawu-Cabarrot,-2.197,-1.549,-0.647
Damion Lee,-2.204,-1.023,-1.18
Chandler Hutchison,-2.217,-2.665,0.448
Quinn Cook,-2.24,-0.677,-1.562
Wayne Selden,-2.293,-1.336,-0.956
Dillon Brooks,-2.317,-1.752,-0.566
Bruce Brown,-2.321,-3.136,0.815
Hamidou Diallo,-2.322,-1.556,-0.766
Tyrone Wallace,-2.412,-2.135,-0.277
Darius Miller,-2.419,-0.331,-2.088
Lance Stephenson,-2.497,-1.282,-1.216
Ryan Anderson,-2.497,-1.413,-1.084
Nik Stauskas,-2.502,-1.238,-1.264
Mike Scott,-2.507,-1.261,-1.246
Cristiano Felicio,-2.541,-1.326,-1.215
Wes Iwundu,-2.568,-2.532,-0.035
John Jenkins,-2.574,-0.934,-1.64
Robin Lopez,-2.581,-1.613,-0.968
Stanley Johnson,-2.615,-2.675,0.06
Cedi Osman,-2.623,-1.409,-1.213
Jose Calderon,-2.636,-2.3,-0.337
Isaiah Canaan,-2.658,-1.445,-1.213
Jonathon Simmons,-2.661,-2.394,-0.267
Isaiah Briscoe,-2.682,-2.626,-0.056
Shelvin Mack,-2.737,-1.514,-1.223
Ian Clark,-2.741,-1.036,-1.705
Alex Abrines,-2.761,-2.116,-0.645
E'Twaun Moore,-2.761,-1.191,-1.57
Solomon Hill,-2.777,-2.0,-0.777
Svi Mykhailiuk,-2.799,-1.361,-1.439
Emmanuel Mudiay,-2.811,-0.955,-1.856
Elie Okobo,-2.914,-1.957,-0.957
Jordan Clarkson,-2.945,0.018,-2.962
Patrick Patterson,-2.969,-1.754,-1.214
Josh Jackson,-2.996,-2.339,-0.657
Grayson Allen,-3.092,-0.991,-2.101
Frank Jackson,-3.093,-1.158,-1.936
Lance Thomas,-3.3,-2.813,-0.486
Damyean Dotson,-3.318,-1.543,-1.775
Abdel Nader,-3.364,-2.61,-0.754
Jamal Crawford,-3.407,-0.708,-2.698
Avery Bradley,-3.54,-2.245,-1.295
Antonio Blakeney,-3.541,-1.716,-1.825
Collin Sexton,-3.633,-1.337,-2.295
Allonzo Trier,-3.906,-1.709,-2.198
Kevin Knox Ii,-5.356,-2.638,-2.717
