Player,dpm,d_dpm,o_dpm
mario chalmers,-1.01,0.38,-1.4
sam hauser,-1.01,-0.69,-0.32
trey lyles,-1.02,-0.71,-0.31
anfernee simons,-1.02,-2.13,1.1
davon reed,-1.03,0.06,-1.1
keita bates-diop,-1.03,0.1,-1.13
hamidou diallo,-1.03,0.17,-1.21
georges niang,-1.03,-0.79,-0.24
sterling brown,-1.03,0.25,-1.27
jaden springer,-1.04,-0.35,-0.69
nathan knight,-1.04,-0.01,-1.03
moritz wagner,-1.05,-1.04,-0.01
malcolm hill,-1.05,-0.44,-0.6
facundo campazzo,-1.06,0.12,-1.19
alperen sengun,-1.07,-0.36,-0.71
frank kaminsky,-1.07,0.28,-1.35
gabe vincent,-1.08,-0.24,-0.83
harrison barnes,-1.09,-1.36,0.27
devontae cacok,-1.09,-0.04,-1.06
amir coffey,-1.11,-0.76,-0.35
cameron oliver,-1.12,0.07,-1.19
kris dunn,-1.12,0.74,-1.87
juan toscano-anderson,-1.12,0.58,-1.71
robin lopez,-1.13,1.15,-2.28
trendon watford,-1.14,0.07,-1.21
quentin grimes,-1.14,0.13,-1.27
lamarcus aldridge,-1.15,-0.2,-0.94
omer yurtseven,-1.15,0.26,-1.41
isaiah roby,-1.15,0.19,-1.34
evan mobley,-1.16,0.2,-1.36
luka samanic,-1.17,0.22,-1.4
deni avdija,-1.17,-0.12,-1.05
jamychal green,-1.17,-0.24,-0.92
ish wainright,-1.18,0.33,-1.51
kenyon martin jr.,-1.18,-0.6,-0.58
jock landale,-1.19,-0.65,-0.54
anthony gill,-1.19,-0.01,-1.18
cam reddish,-1.19,-0.19,-1.0
aaron nesmith,-1.19,-0.14,-1.05
skylar mays,-1.21,-0.35,-0.85
markus howard,-1.21,-1.38,0.17
furkan korkmaz,-1.22,-0.64,-0.58
jeff green,-1.22,-0.14,-1.08
scottie lewis,-1.23,0.15,-1.38
austin rivers,-1.23,-0.62,-0.61
trent forrest,-1.27,-0.68,-0.6
eric paschall,-1.28,-1.29,0.01
ryan arcidiacono,-1.28,0.02,-1.3
gabe york,-1.28,-0.52,-0.76
talen horton-tucker,-1.28,0.13,-1.41
jemerrio jones,-1.29,0.43,-1.72
josh christopher,-1.3,-0.53,-0.77
dwight howard,-1.31,0.6,-1.91
terry taylor,-1.31,-1.11,-0.21
jalen mcdaniels,-1.32,-0.32,-0.99
chris duarte,-1.32,-0.52,-0.79
justin anderson,-1.33,-0.34,-0.99
gorgui dieng,-1.33,0.17,-1.49
miye oni,-1.35,0.08,-1.43
charles bassey,-1.36,0.04,-1.4
alex len,-1.37,0.74,-2.12
nemanja bjelica,-1.39,0.72,-2.11
isaiah livers,-1.39,0.29,-1.68
vlatko cancar,-1.41,-0.29,-1.12
anthony tolliver,-1.42,0.79,-2.22
ersan ilyasova,-1.42,0.28,-1.7
nik stauskas,-1.42,-1.19,-0.22
gabriel deck,-1.44,-0.42,-1.02
devon dotson,-1.45,-0.59,-0.87
ed davis,-1.45,1.49,-2.94
marcus morris sr.,-1.45,-0.86,-0.59
jericho sims,-1.45,0.71,-2.16
josh giddey,-1.46,-0.88,-0.58
corey kispert,-1.46,-0.89,-0.57
malik newman,-1.46,-0.57,-0.89
romeo langford,-1.46,0.15,-1.61
lance stephenson,-1.47,-1.02,-0.44
caris levert,-1.47,-1.2,-0.26
kentavious caldwell-pope,-1.47,-1.01,-0.46
jonathan kuminga,-1.48,-1.24,-0.24
oshae brissett,-1.48,-0.79,-0.69
sam merrill,-1.5,-0.77,-0.73
cheick diallo,-1.5,0.02,-1.52
ty jerome,-1.52,-0.6,-0.92
blake griffin,-1.53,-0.25,-1.28
chris smith,-1.53,-0.04,-1.49
trevor ariza,-1.54,0.45,-1.99
solomon hill,-1.55,0.13,-1.68
kevin knox ii,-1.55,-1.25,-0.31
bismack biyombo,-1.55,1.23,-2.77
dalano banton,-1.55,0.39,-1.94
nickeil alexander-walker,-1.56,-0.53,-1.04
bryn forbes,-1.56,-1.5,-0.06
precious achiuwa,-1.56,0.26,-1.82
frank jackson,-1.57,-1.02,-0.55
derrick walton jr.,-1.57,0.14,-1.7
usman garuba,-1.57,0.25,-1.82
reggie perry,-1.57,-0.71,-0.86
gary clark,-1.58,-0.02,-1.56
ish smith,-1.59,-0.35,-1.25
cj miles,-1.59,-0.22,-1.37
aleksej pokusevski,-1.59,0.19,-1.78
tony snell,-1.59,-0.54,-1.05
drew eubanks,-1.59,-0.23,-1.36
isaiah joe,-1.6,-0.3,-1.3
thanasis antetokounmpo,-1.61,-0.09,-1.52
hassani gravett,-1.62,-0.46,-1.16
kent bazemore,-1.63,0.99,-2.61
shake milton,-1.63,-0.54,-1.09
daquan jeffries,-1.63,-0.53,-1.11
yuta watanabe,-1.63,-0.24,-1.39
matt thomas,-1.64,-0.95,-0.69
coby white,-1.64,-1.1,-0.53
de'andre hunter,-1.65,-0.74,-0.91
jordan schakel,-1.66,-0.29,-1.36
justin jackson,-1.66,-0.78,-0.87
tomas satoransky,-1.66,0.08,-1.74
saddiq bey,-1.67,-1.25,-0.42
day'ron sharpe,-1.68,-1.27,-0.42
goran dragic,-1.69,-0.5,-1.19
david johnson,-1.69,-0.23,-1.46
nate hinton,-1.7,0.44,-2.13
landry shamet,-1.71,-0.67,-1.04
luguentz dort,-1.71,-1.04,-0.66
jt thor,-1.71,0.31,-2.02
aaron henry,-1.71,0.56,-2.27
cole anthony,-1.71,-0.7,-1.01
malik fitts,-1.72,-0.53,-1.19
quinndary weatherspoon,-1.74,-0.46,-1.28
joel ayayi,-1.74,-0.09,-1.65
marquese chriss,-1.74,-0.37,-1.37
jason preston,-1.74,-0.63,-1.11
svi mykhailiuk,-1.74,-0.63,-1.11
jalen green,-1.74,-2.23,0.48
chimezie metu,-1.74,-0.43,-1.31
grant riller,-1.75,-0.65,-1.1
brandon williams,-1.75,-0.46,-1.29
matt ryan,-1.75,-0.1,-1.65
sekou doumbouya,-1.75,0.0,-1.75
tremont waters,-1.76,-0.25,-1.52
jordan bell,-1.76,0.37,-2.13
greg brown iii,-1.76,0.24,-2.0
chris chiozza,-1.77,0.17,-1.95
patrick williams,-1.77,-0.28,-1.48
cory joseph,-1.78,-0.24,-1.54
langston galloway,-1.79,-0.48,-1.3
scotty hopson,-1.79,0.43,-2.22
luka garza,-1.8,-0.54,-1.26
jared butler,-1.83,-0.7,-1.12
timothe luwawu-cabarrot,-1.84,-0.49,-1.35
james wiseman,-1.84,-0.5,-1.34
paris bass,-1.84,-0.61,-1.23
craig sword,-1.85,-0.42,-1.43
marko simonovic,-1.86,-0.36,-1.5
paul watson,-1.86,-0.74,-1.12
josh jackson,-1.86,-0.05,-1.81
justin james,-1.87,-0.64,-1.23
james johnson,-1.87,0.85,-2.72
zeke nnaji,-1.88,-0.41,-1.47
rob edwards,-1.88,-0.25,-1.63
aaron wiggins,-1.88,-0.78,-1.11
daishen nix,-1.89,-0.05,-1.84
malik ellison,-1.89,-0.33,-1.56
nick richards,-1.9,-0.15,-1.75
armoni brooks,-1.91,-0.8,-1.11
vit krejci,-1.91,-0.11,-1.8
malachi flynn,-1.92,-0.42,-1.5
jay scrubb,-1.92,-0.22,-1.69
d.j. wilson,-1.92,-0.37,-1.55
robert woodard ii,-1.93,-0.16,-1.78
isaiah todd,-1.93,0.03,-1.96
bol bol,-1.93,0.41,-2.34
d.j. stewart jr.,-1.93,-0.11,-1.82
sharife cooper,-1.94,-0.38,-1.55
ayo dosunmu,-1.94,-0.74,-1.2
pj dozier,-1.95,-0.18,-1.77
santi aldama,-1.95,-0.57,-1.37
collin sexton,-1.96,-1.41,-0.55
arnoldas kulboka,-1.96,-0.42,-1.53
brandon boston jr.,-1.97,-0.33,-1.64
avery bradley,-1.97,-0.14,-1.83
kai jones,-2.0,-0.1,-1.9
lindell wigginton,-2.01,-0.6,-1.41
tyler cook,-2.03,-0.13,-1.9
markieff morris,-2.03,-0.22,-1.81
brandon knight,-2.03,-1.08,-0.95
brandon goodwin,-2.04,-0.37,-1.67
isaiah thomas,-2.04,-1.75,-0.29
devin cannady,-2.05,-0.41,-1.63
wenyen gabriel,-2.06,-0.27,-1.78
cedi osman,-2.07,-1.14,-0.93
marcus garrett,-2.08,0.36,-2.44
georgios kalaitzakis,-2.08,-0.14,-1.94
rayjon tucker,-2.08,-1.05,-1.02
paul millsap,-2.09,0.71,-2.79
louis king,-2.1,-0.58,-1.52
kelan martin,-2.11,-0.74,-1.36
jahmi'us ramsey,-2.11,-0.77,-1.34
bruno fernando,-2.12,-0.95,-1.17
rodney hood,-2.12,-0.85,-1.26
daulton hommes,-2.13,-0.49,-1.64
denzel valentine,-2.13,-0.44,-1.68
jaysean paige,-2.14,-0.83,-1.31
tre mann,-2.15,-1.09,-1.06
justin tillman,-2.15,-0.56,-1.59
tyler hall,-2.15,-0.37,-1.79
kemba walker,-2.15,-1.76,-0.39
joe wieskamp,-2.17,-0.47,-1.7
jarron cumberland,-2.17,-0.34,-1.83
cam thomas,-2.17,-1.26,-0.9
kyle guy,-2.17,-0.9,-1.26
jaylen morris,-2.18,-0.43,-1.75
ahmad caver,-2.19,-0.89,-1.3
marcos louzada silva,-2.19,-0.29,-1.89
cameron mcgriff,-2.19,-0.31,-1.88
mj walker,-2.19,-0.23,-1.96
eugene omoruyi,-2.2,-0.26,-1.94
anthony lamb,-2.2,-0.78,-1.42
chaundee brown,-2.2,-0.42,-1.78
jalen suggs,-2.2,-0.15,-2.05
dennis schroder,-2.2,-1.2,-1.0
mychal mulder,-2.21,-1.01,-1.2
lonnie walker iv,-2.22,-1.71,-0.51
cassius stanley,-2.22,-0.35,-1.87
jamorko pickett,-2.22,-0.86,-1.36
isaiah stewart,-2.23,0.35,-2.58
trey burke,-2.23,-1.45,-0.78
petr cornelie,-2.24,-0.7,-1.53
melvin frazier jr.,-2.24,-0.28,-1.97
matt mooney,-2.24,-0.36,-1.88
udoka azubuike,-2.25,-0.13,-2.11
javonte smart,-2.25,-0.37,-1.88
jeremiah robinson-earl,-2.25,-0.99,-1.25
zylan cheatham,-2.27,-0.58,-1.69
ade murkey,-2.27,-0.45,-1.81
killian hayes,-2.28,0.36,-2.64
kyle kuzma,-2.28,-1.6,-0.69
rui hachimura,-2.29,-1.46,-0.84
yves pons,-2.29,0.19,-2.48
marvin bagley iii,-2.29,-1.16,-1.13
mckinley wright iv,-2.3,-0.74,-1.56
dakota mathias,-2.31,-0.71,-1.6
lamar stevens,-2.31,-0.31,-2.0
deandre jordan,-2.32,0.7,-3.02
torrey craig,-2.33,-0.66,-1.68
kira lewis jr.,-2.33,-0.88,-1.45
neemias queta,-2.34,-0.27,-2.08
rj nembhard jr.,-2.34,-0.33,-2.01
xavier moon,-2.34,-0.39,-1.95
david duke jr.,-2.34,-0.21,-2.13
charles brown jr.,-2.35,0.4,-2.75
miles mcbride,-2.36,-0.35,-2.01
xavier sneed,-2.37,-0.46,-1.9
tyler johnson,-2.38,-0.93,-1.45
dejon jarreau,-2.39,-0.43,-1.96
daniel oturu,-2.4,0.07,-2.47
theo pinson,-2.42,-0.44,-1.97
mac mcclung,-2.42,-0.46,-1.95
wes iwundu,-2.42,-0.25,-2.17
trayvon palmer,-2.43,-0.42,-2.01
elfrid payton,-2.46,0.01,-2.47
james bouknight,-2.47,-1.47,-1.01
bj johnson,-2.47,-0.83,-1.64
trevon scott,-2.49,-0.35,-2.14
chris silva,-2.49,-0.33,-2.16
damyean dotson,-2.5,-1.17,-1.33
lou williams,-2.51,-1.68,-0.83
jarrett culver,-2.52,-0.2,-2.32
juwan morgan,-2.52,-0.31,-2.21
leandro bolmaro,-2.52,-0.49,-2.02
darius bazley,-2.52,-0.71,-1.81
kz okpala,-2.53,-0.19,-2.33
brad wanamaker,-2.53,0.16,-2.69
carmelo anthony,-2.54,-1.6,-0.94
jalen johnson,-2.54,-0.57,-1.97
alize johnson,-2.56,-0.68,-1.88
e'twaun moore,-2.56,-0.33,-2.24
ignas brazdeikis,-2.56,-1.36,-1.2
myles powell,-2.57,-0.5,-2.07
feron hunt,-2.57,-0.32,-2.25
mason jones,-2.58,-1.4,-1.17
davion mitchell,-2.6,-1.56,-1.03
moses wright,-2.6,-0.6,-1.99
kessler edwards,-2.62,-0.32,-2.29
olivier sarr,-2.62,-0.19,-2.43
george king,-2.63,-0.57,-2.06
aleem ford,-2.64,-0.56,-2.08
carsen edwards,-2.64,-0.98,-1.66
tyrone wallace,-2.65,-0.16,-2.49
kevin pangos,-2.66,-1.16,-1.51
norvel pelle,-2.68,0.57,-3.26
vernon carey jr.,-2.68,-0.28,-2.4
abdel nader,-2.7,-0.11,-2.58
jaquori mclaughlin,-2.73,-0.65,-2.08
gabriel lundberg,-2.73,-0.72,-2.01
ben mclemore,-2.73,-1.5,-1.22
cj elleby,-2.75,-0.27,-2.47
braxton key,-2.75,-0.04,-2.71
duane washington jr.,-2.76,-1.39,-1.37
chandler hutchison,-2.82,-0.48,-2.33
shaq buchanan,-2.82,-0.87,-1.96
luca vildoza,-2.83,-0.8,-2.03
elijah hughes,-2.84,-0.66,-2.18
emmanuel mudiay,-2.86,-1.12,-1.74
joshua primo,-2.87,-0.8,-2.07
aric holman,-2.89,-0.54,-2.34
cassius winston,-2.95,-1.09,-1.86
deividas sirvydis,-3.01,-0.32,-2.69
haywood highsmith,-3.02,-1.03,-1.99
cat barber,-3.03,-0.66,-2.37
d.j. augustin,-3.03,-1.86,-1.17
alfonzo mckinnie,-3.04,-0.86,-2.18
admiral schofield,-3.04,-1.22,-1.83
jordan goodwin,-3.07,-0.66,-2.41
emanuel terry,-3.09,-0.39,-2.7
wayne selden,-3.1,-1.19,-1.9
jordan nwora,-3.12,-1.54,-1.58
jay huff,-3.15,-0.17,-2.98
tim frazier,-3.16,-0.37,-2.79
rajon rondo,-3.27,0.03,-3.3
theo maledon,-3.32,-1.03,-2.29
jeff dowtin,-3.32,-0.82,-2.5
semi ojeleye,-3.41,-1.03,-2.38
r.j. hampton,-3.42,-1.01,-2.41
zavier simpson,-3.42,-0.89,-2.53
keifer sykes,-3.42,-1.31,-2.1
keljin blevins,-3.46,-1.01,-2.46
keon johnson,-3.48,-0.56,-2.92
freddie gillespie,-3.48,-0.55,-2.93
terrence ross,-3.49,-1.57,-1.92
justin robinson,-3.49,-1.13,-2.36
javin delaurier,-3.57,-0.56,-3.01
jaime echenique,-3.6,-0.68,-2.91
micah potter,-3.68,-0.5,-3.18
jon teske,-3.74,-0.44,-3.3
garrett temple,-3.78,-0.9,-2.89
joe johnson,-3.93,-0.93,-3.0
carlik jones,-4.3,-1.6,-2.7
mamadi diakite,-4.42,-0.94,-3.48
udonis haslem,-4.89,-0.24,-4.65
