Player,dpm,d_dpm,o_dpm
jabari bird,-1.22,-0.14,-1.08
dion waiters,-1.22,-0.58,-0.64
frank jackson,-1.24,-0.16,-1.08
andrew harrison,-1.25,-0.47,-0.78
demetrius jackson,-1.25,-0.6,-0.65
royce o'neale,-1.26,0.05,-1.31
kelly oubre jr.,-1.26,-0.71,-0.55
gorgui dieng,-1.28,0.26,-1.55
mirza teletovic,-1.28,-0.2,-1.08
alexis ajinca,-1.29,1.29,-2.57
terrance ferguson,-1.29,-0.07,-1.22
omer asik,-1.3,2.08,-3.39
austin rivers,-1.3,-1.7,0.39
shane larkin,-1.3,0.25,-1.55
gerald green,-1.3,-0.85,-0.45
pat connaughton,-1.32,-0.22,-1.09
wesley matthews,-1.33,-0.77,-0.56
wes iwundu,-1.34,0.34,-1.68
daniel hamilton,-1.34,0.0,-1.34
ante zizic,-1.34,-0.53,-0.81
briante weber,-1.35,0.66,-2.01
sterling brown,-1.38,0.25,-1.64
tony snell,-1.38,-0.72,-0.66
guerschon yabusele,-1.39,-0.15,-1.24
sheldon mac,-1.39,-0.89,-0.5
trey burke,-1.39,-2.18,0.79
kj mcdaniels,-1.39,-0.44,-0.95
harry giles iii,-1.39,0.07,-1.46
joakim noah,-1.4,1.39,-2.79
jon leuer,-1.41,0.16,-1.56
eric moreland,-1.42,1.34,-2.76
t.j. mcconnell,-1.42,-0.14,-1.28
jodie meeks,-1.44,-1.17,-0.27
quinn cook,-1.44,-1.78,0.33
tyler cavanaugh,-1.44,-1.1,-0.34
kay felder,-1.44,-0.06,-1.38
josh smith,-1.44,0.69,-2.13
alex abrines,-1.44,-0.57,-0.87
tim quarterman,-1.46,0.18,-1.64
david west,-1.46,1.21,-2.67
langston galloway,-1.46,-0.54,-0.92
nicolas brussino,-1.47,-0.32,-1.15
bam adebayo,-1.47,0.34,-1.82
okaro white,-1.47,-0.13,-1.34
cory joseph,-1.48,-0.5,-0.98
alfonzo mckinnie,-1.49,-0.54,-0.95
mike scott,-1.5,-1.08,-0.42
shaquille harrison,-1.51,-0.14,-1.37
justin anderson,-1.51,-1.36,-0.15
tim frazier,-1.52,0.48,-2.0
ike anigbogu,-1.55,-0.01,-1.54
georgios papagiannis,-1.55,0.96,-2.51
sam dekker,-1.55,-0.52,-1.03
david nwaba,-1.56,-0.17,-1.4
dennis smith jr.,-1.57,-0.89,-0.68
josh mcroberts,-1.59,0.08,-1.66
norman powell,-1.6,-0.53,-1.06
zach lavine,-1.6,-1.54,-0.07
elfrid payton,-1.6,-1.02,-0.58
kyle kuzma,-1.61,-1.38,-0.24
lauri markkanen,-1.63,-1.38,-0.24
isaiah thomas,-1.64,-2.64,1.0
bogdan bogdanovic,-1.65,-1.02,-0.63
avery bradley,-1.65,-0.49,-1.16
devin robinson,-1.65,-0.31,-1.35
david stockton,-1.67,-1.03,-0.64
eric griffin,-1.69,-0.51,-1.18
joffrey lauvergne,-1.69,-0.65,-1.04
rodney hood,-1.69,-1.44,-0.25
marcus morris sr.,-1.71,-0.75,-0.96
tyson chandler,-1.73,1.08,-2.81
thomas bryant,-1.74,-0.03,-1.71
omri casspi,-1.74,-0.55,-1.19
luke kornet,-1.74,-0.4,-1.34
monte morris,-1.76,-0.46,-1.3
alec burks,-1.76,-0.85,-0.91
le'bryan nash,-1.77,-0.15,-1.63
carrick felix,-1.78,-0.66,-1.12
jr smith,-1.79,-1.11,-0.68
