nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
201967,Dante Cunningham,2019,SAS,PF,14.506,-1.403,-2.087,0.685,0.579,Stationary Shooter,Wing Stopper
201973,Jonas Jerebko,2019,GSW,PF,16.685,0.74,0.464,0.276,2.469,Stationary Shooter,Low Activity
201976,Patrick Beverley,2019,LAC,PG,27.4,1.302,0.44,0.861,5.116,Primary Ball Handler,Point of Attack
201980,Danny Green,2019,TOR,SG,27.694,1.045,0.162,0.883,4.933,Off Screen Shooter,Wing Stopper
201988,Patty Mills,2019,SAS,PG,23.265,0.206,1.238,-1.032,3.199,Primary Ball Handler,Point of Attack
202066,Garrett Temple,2019,MEM/LAC,SG,27.207,-1.563,-2.053,0.491,1.06,Movement Shooter,Wing Stopper
202083,Wesley Matthews,2019,DAL/NYK/IND,SF,30.305,-1.57,-0.566,-1.004,1.076,Off Screen Shooter,Wing Stopper
202322,John Wall,2019,WAS,PG,34.495,0.983,0.954,0.029,2.413,Shot Creator,Point of Attack
202323,Evan Turner,2019,POR,PG,21.996,-0.52,-0.653,0.134,1.928,Shot Creator,Wing Stopper
202324,Derrick Favors,2019,UTA,C,23.243,2.976,0.875,2.101,6.133,Roll + Cut Big,Anchor Big
202325,Wesley Johnson,2019,NOP/WAS,SF,14.051,-2.11,-2.091,-0.019,0.088,Movement Shooter,Wing Stopper
202326,Demarcus Cousins,2019,GSW,C,25.686,2.093,0.702,1.391,2.24,Post Scorer,Anchor Big
202328,Greg Monroe,2019,TOR/BOS/PHI,C,11.16,-1.048,-0.725,-0.323,0.41,Post Scorer,Anchor Big
202329,Al-Farouq Aminu,2019,POR,PF,28.294,1.301,-0.143,1.444,5.486,Stationary Shooter,Wing Stopper
202330,Gordon Hayward,2019,BOS,PF,25.879,0.952,0.52,0.432,4.035,Secondary Ball Handler,Low Activity
202331,Paul George,2019,OKC,SF,36.902,5.223,3.801,1.422,13.784,Shot Creator,Wing Stopper
202334,Ed Davis,2019,BRK,C,17.853,1.185,-0.91,2.095,3.352,Roll + Cut Big,Anchor Big
202335,Patrick Patterson,2019,OKC,PF,13.66,-2.969,-1.754,-1.214,-0.33,Stretch Big,Helper
202339,Eric Bledsoe,2019,MIL,PG,29.126,3.522,2.469,1.053,8.669,Primary Ball Handler,Point of Attack
202340,Avery Bradley,2019,LAC/MEM,SG,30.244,-3.54,-2.245,-1.295,-1.417,Movement Shooter,Wing Stopper
202355,Hassan Whiteside,2019,MIA,C,23.254,3.177,0.96,2.217,6.026,Post Scorer,Anchor Big
202357,Nemanja Bjelica,2019,SAC,PF,23.22,1.033,-0.16,1.192,3.966,Stretch Big,Helper
202362,Lance Stephenson,2019,LAL,SG,16.511,-2.497,-1.282,-1.216,-0.094,Shot Creator,Low Activity
202391,Jeremy Lin,2019,ATL/TOR,PG,19.41,-1.5,-0.743,-0.757,0.805,Primary Ball Handler,Point of Attack
202397,Ish Smith,2019,DET,PG,22.34,-1.423,-0.624,-0.799,0.763,Slasher,Point of Attack
202498,Lance Thomas,2019,NYK,PF,17.029,-3.3,-2.813,-0.486,-0.464,Stationary Shooter,Helper
202681,Kyrie Irving,2019,BOS,PG,33.045,3.291,3.134,0.158,8.128,Shot Creator,Point of Attack
202683,Enes Freedom,2019,NYK/POR,C,24.472,1.546,1.964,-0.418,4.186,Post Scorer,Anchor Big
202684,Tristan Thompson,2019,CLE,C,27.855,-0.404,-0.374,-0.03,1.529,Post Scorer,Anchor Big
202685,Jonas Valančiūnas,2019,TOR/MEM,C,22.269,0.865,0.275,0.59,2.301,Post Scorer,Anchor Big
202687,Bismack Biyombo,2019,CHO,C,14.491,-1.084,-1.857,0.773,0.65,Roll + Cut Big,Anchor Big
202688,Brandon Knight,2019,HOU/CLE,PG,18.885,-1.728,-1.309,-0.419,0.304,Primary Ball Handler,Chaser
202689,Kemba Walker,2019,CHO,PG,34.91,2.841,3.891,-1.049,9.694,Primary Ball Handler,Point of Attack
202691,Klay Thompson,2019,GSW,SG,34.004,0.526,1.07,-0.544,5.005,Off Screen Shooter,Wing Stopper
202692,Alec Burks,2019,UTA/CLE/SAC,SG,21.483,-0.965,-0.31,-0.655,1.25,Secondary Ball Handler,Chaser
202693,Markieff Morris,2019,WAS/OKC,PF,21.907,-0.745,-0.701,-0.044,1.338,Versatile Big,Mobile Big
202694,Marcus Morris Sr.,2019,BOS,PF,27.874,-0.426,-0.411,-0.015,2.639,Shot Creator,Helper
202695,Kawhi Leonard,2019,TOR,SF,34.004,4.088,3.539,0.549,8.5,Shot Creator,Wing Stopper
202696,Nikola Vučević,2019,ORL,C,31.379,3.333,1.522,1.811,9.282,Post Scorer,Anchor Big
202697,Iman Shumpert,2019,SAC/HOU,SG,23.884,-1.828,-1.446,-0.382,0.514,Movement Shooter,Wing Stopper
202699,Tobias Harris,2019,LAC/PHI,PF,34.731,0.589,1.169,-0.58,5.492,Shot Creator,Wing Stopper
202702,Kenneth Faried,2019,BRK/HOU,C,19.681,0.31,0.663,-0.353,1.271,Roll + Cut Big,Mobile Big
202703,Nikola Mirotic,2019,NOP/MIL,PF,27.068,0.325,0.904,-0.579,2.185,Movement Shooter,Helper
202704,Reggie Jackson,2019,DET,PG,27.914,-0.508,0.317,-0.825,2.766,Primary Ball Handler,Point of Attack
202705,Marshon Brooks,2019,MEM,SG,13.336,-2.011,-0.756,-1.255,0.089,Shot Creator,Chaser
202709,Cory Joseph,2019,IND,PG,25.164,1.267,-0.089,1.356,4.893,Primary Ball Handler,Point of Attack
202710,Jimmy Butler Iii,2019,MIN/PHI,SG,33.615,1.878,1.955,-0.077,6.048,Shot Creator,Wing Stopper
202711,Bojan Bogdanović,2019,IND,SF,31.765,-0.196,0.67,-0.866,3.636,Off Screen Shooter,Low Activity
202714,Shelvin Mack,2019,MEM/CHO,PG,21.871,-2.737,-1.514,-1.223,-0.295,Primary Ball Handler,Point of Attack
202718,Chandler Parsons,2019,MEM,SF,19.835,-1.995,-1.541,-0.454,0.119,Secondary Ball Handler,Low Activity
202722,Davis Bertans,2019,SAS,PF,21.471,1.076,-0.156,1.232,3.666,Movement Shooter,Helper
202734,E'Twaun Moore,2019,NOP,SG,27.604,-2.761,-1.191,-1.57,-0.369,Off Screen Shooter,Chaser
203076,Anthony Davis,2019,NOP,C,33.035,6.767,4.414,2.353,10.604,Shot Creator,Anchor Big
203077,Michael Kidd-Gilchrist,2019,CHO,PF,18.424,-0.187,-1.137,0.951,1.673,Athletic Finisher,Wing Stopper
203078,Bradley Beal,2019,WAS,SG,36.924,1.127,2.33,-1.203,6.903,Primary Ball Handler,Chaser
203079,Dion Waiters,2019,MIA,SG,25.862,-1.077,-0.427,-0.65,0.951,Shot Creator,Chaser
203081,Damian Lillard,2019,POR,PG,35.473,4.746,5.169,-0.423,12.96,Shot Creator,Point of Attack
203082,Terrence Ross,2019,ORL,SG,26.544,-0.393,0.112,-0.505,2.761,Off Screen Shooter,Low Activity
203083,Andre Drummond,2019,DET,C,33.507,2.538,0.122,2.416,8.453,Post Scorer,Anchor Big
203084,Harrison Barnes,2019,DAL/SAC,PF,32.892,-1.957,-0.649,-1.307,0.669,Shot Creator,Wing Stopper
203085,Austin Rivers,2019,WAS/HOU,SG,26.68,-2.159,-1.075,-1.084,0.271,Shot Creator,Point of Attack
203086,Meyers Leonard,2019,POR,C,14.387,-0.235,-0.562,0.327,1.218,Stretch Big,Anchor Big
203087,Jeremy Lamb,2019,CHO,SG,28.483,1.255,0.862,0.394,5.319,Secondary Ball Handler,Chaser
203090,Maurice Harkless,2019,POR,SF,23.587,0.453,-0.831,1.284,2.603,Versatile Big,Wing Stopper
203095,Evan Fournier,2019,ORL,SG,31.522,0.148,0.091,0.057,4.185,Off Screen Shooter,Wing Stopper
203098,John Jenkins,2019,WAS/NYK,SG,12.811,-2.574,-0.934,-1.64,-0.044,Off Screen Shooter,Low Activity
203107,Tomas Satoransky,2019,WAS,PG,27.045,-0.013,0.019,-0.033,3.317,Primary Ball Handler,Point of Attack
203109,Jae Crowder,2019,UTA,SF,27.073,0.692,0.688,0.003,4.321,Movement Shooter,Helper
203110,Draymond Green,2019,GSW,PF,31.284,1.088,-1.414,2.502,4.654,Stretch Big,Helper
203114,Khris Middleton,2019,MIL,SF,31.085,1.769,1.3,0.47,6.457,Shot Creator,Helper
203115,Will Barton,2019,DEN,SF,27.652,-1.383,-0.932,-0.451,0.757,Secondary Ball Handler,Wing Stopper
203118,Mike Scott,2019,LAC/PHI,PF,17.667,-2.507,-1.261,-1.246,-0.125,Stationary Shooter,Helper
203121,Darius Miller,2019,NOP,SF,25.471,-2.419,-0.331,-2.088,-0.058,Off Screen Shooter,Low Activity
203145,Kent Bazemore,2019,ATL,SG,24.529,-1.779,-1.647,-0.132,0.624,Secondary Ball Handler,Wing Stopper
203200,Justin Holiday,2019,CHI/MEM,SG,31.787,-1.633,-2.077,0.444,1.236,Off Screen Shooter,Wing Stopper
203210,Jamychal Green,2019,MEM/LAC,PF,21.086,-0.657,-1.12,0.463,1.523,Versatile Big,Helper
203382,Aron Baynes,2019,BOS,C,16.095,-0.691,-1.566,0.875,0.893,Roll + Cut Big,Anchor Big
203457,Nerlens Noel,2019,OKC,C,13.707,0.795,-1.541,2.336,2.177,Roll + Cut Big,Mobile Big
203458,Alex Len,2019,ATL,C,20.054,-0.32,-0.598,0.278,2.056,Stretch Big,Anchor Big
203459,Allen Crabbe,2019,BRK,SG,26.35,-2.14,-1.703,-0.437,0.165,Off Screen Shooter,Chaser
203468,Cj Mccollum,2019,POR,SG,33.932,0.868,1.628,-0.76,5.014,Primary Ball Handler,Chaser
203469,Cody Zeller,2019,CHO,C,25.367,0.335,-0.605,0.94,2.19,Roll + Cut Big,Anchor Big
203471,Dennis Schröder,2019,OKC,PG,29.289,-0.869,0.451,-1.321,2.248,Primary Ball Handler,Point of Attack
203473,Dewayne Dedmon,2019,ATL,C,25.143,0.491,-1.103,1.594,2.999,Stretch Big,Anchor Big
203476,Gorgui Dieng,2019,MIN,C,13.567,0.045,-1.39,1.435,1.62,Athletic Finisher,Anchor Big
